Date,DAX Notional Value,Amsterdam Index Notional Value,CAC40 Notional Value,PSI-20 Notional Value,IBEX-35 Notional Value,FTSE/Athens Notional Value,BEL-20 Notional Value,FTSE/MIB Notional Value,Gold Notional Value,Silver Notional Value
2004-04-22,3582289.195601463,342326.82149587193,3564524.2886742824,7024176.710714672,7918599.623187487,1337371.0686112167,2452429.01077637,27760000.0,377882.4280216612,28979.366472313974
2004-04-23,3591876.8309181575,343808.6291811168,3588083.603206168,7033542.279662291,7956471.603465475,1341966.9503028,2466212.2328361324,27852000.0,379611.86705150857,29628.91229229777
2004-04-26,3607565.688709113,343399.18232072017,3565937.8475461956,7024176.710714672,7985714.524945947,1347142.4011457558,2451936.752845664,27940000.0,380476.14906604524,29676.98776251081
2004-04-27,3628919.967369024,342911.7455821528,3563110.7298023696,7028859.495188481,7981399.995547189,1345434.197331185,2445537.3997464883,27879000.0,382972.9637747068,29975.05567783167
2004-04-28,3560499.115336247,336672.5553284903,3505333.1368908063,7024176.710714672,7859154.995915708,1361723.1408486995,2421909.019072609,27650000.0,370104.76489160483,28205.878373991723
2004-04-29,3489027.6520663393,333328.7393019181,3470475.5808367226,7026986.381398957,7782452.2510488955,1348362.546727592,2400545.024879977,27458000.0,371257.1409109871,27979.92366399043
2004-04-30,3467237.5718011237,331359.4948781058,3463313.06931876,7012001.471082766,7725883.976709622,1335764.5435951322,2389419.9956460255,27290000.0,371641.2662507812,29220.27079548691
2004-05-03,3492949.8665140783,334576.5773526506,3497215.6238371157,7068194.884768483,7808339.427441445,1360197.9588714042,2411079.344597081,27530000.0,371641.2662507812,28922.20288016605
2004-05-04,3475082.0006966013,334040.39694022643,3491008.1138548814,7061638.98650515,7788204.956913907,1357605.149510002,2411768.5057000695,27466000.0,375866.6449885162,29023.161367613437
2004-05-05,3517790.558016424,336506.8268373774,3523000.66530178,7117832.4001908675,7876892.505666158,1349450.509871396,2419447.72941908,27589000.0,377787.2716874866,29345.26701804082
2004-05-06,3392279.695688782,329507.23527154984,3449943.0478185634,7038225.064136101,7755126.898190094,1334300.3688969286,2382528.384616144,27088000.0,372601.5796002664,27975.116116969122
2004-05-07,3377026.6395031307,329019.7985329824,3431320.5178718613,6999826.23145086,7656851.506329492,1334513.89437375,2363822.583249323,26955000.0,363670.6654500538,26869.38030206916
2004-05-10,3314707.0099446136,320538.39928191,3354442.894245731,6883693.176500378,7455027.408898693,1300278.6429233933,2301798.0839803903,26336000.0,363286.5401102598,27672.24065462696
2004-05-11,3346084.7255265242,324145.4311473086,3409355.4825501097,6897741.529921807,7556179.153691801,1313761.2516026844,2336256.1391297975,26685000.0,361942.1014209804,26508.814275471344
2004-05-12,3274613.2622566167,317321.3168073653,3370200.4195852485,6838738.445551804,7468450.389250385,1322210.7597569008,2326410.980515681,26414000.0,362422.25809572305,26710.73125036612
2004-05-13,3332574.8757620906,322049.4531714689,3416517.994068072,6827499.762814661,7513033.85970422,1339018.2651466958,2349054.8453281485,26712000.0,359925.4433870615,26955.916148452634
2004-05-14,3328652.661314352,319173.5764139213,3407445.479478653,6813451.409393231,7458862.546142033,1326684.6268903005,2357915.488080853,26568000.0,362038.13275592896,27503.97650888131
2004-05-17,3273305.857440704,314835.3894406716,3362082.906531558,6658919.521757509,7350519.919017661,1302525.7443699418,2321488.401208623,26267000.0,364438.91612964205,27249.17651675219
2004-05-18,3296839.144127137,318091.46685430175,3386435.44569263,6733844.073338465,7405170.624735265,1310771.8949271855,2358112.3912531356,26390000.0,360885.7567365467,27273.21425185871
2004-05-19,3371361.2186341747,324555.19028848945,3458060.5608722544,6827499.762814661,7575690.724502779,1307858.703775247,2377822.289079726,26810000.0,367703.98151789175,28460.678366120846
2004-05-20,3346520.5271318285,322218.07999988,3424635.507121763,6788164.3732346585,7489472.69653044,1269494.8484645062,2380753.504653937,26725000.0,363382.5714452083,27753.96895398913
2004-05-21,3337804.4950257423,322403.8753784724,3423680.5055860346,6805022.397340374,7489472.69653044,1253462.0394135204,2389446.0749774594,26691000.0,369528.5768819137,28186.64818590651
2004-05-24,3364388.3929493055,325503.7245897243,3462358.0677830316,6794720.271497992,7557010.151775438,1266663.7190351575,2401575.2428707457,27002000.0,370296.62796402734,28796.99845352972
2004-05-25,3377898.242713739,323283.95875075215,3443258.0370684653,6733844.073338465,7512943.159700688,1250415.4979623733,2376306.1430930654,26875000.0,372888.8003661608,29219.91832400879
2004-05-26,3384435.266793304,326119.7829503201,3494350.6192299305,6747892.426759894,7593413.319141537,1271361.7526534249,2397532.186906317,27110000.0,372792.7939808966,29075.74109543638
2004-05-27,3410147.561506259,329591.22291875683,3514006.041837754,6785354.702550372,7640354.245482032,1288820.384134409,2417747.4667284614,27244000.0,379129.2154083339,29748.568162107636
2004-05-28,3417991.990401736,329933.47756353224,3490515.414818648,6789100.93012942,7620715.694666111,1298996.0377355465,2413300.1051675896,27170000.0,378265.1579409561,29340.066014485805
2004-05-31,3427143.824113127,330226.8386876255,3505856.2324637785,6731970.959548941,7624547.607020437,1298996.0377355465,2417646.3903293507,27184000.0,378265.1579409561,29340.066014485805
2004-06-01,3376155.036292522,324995.2319746294,3464148.3844910795,6724478.504390845,7517733.050143596,1288758.8378424665,2411682.882781818,27075000.0,378841.1962525413,29075.74109543638
2004-06-02,3419299.395217649,327391.01448805747,3488118.412061596,6737590.300917513,7575690.724502779,1290892.4426298018,2423812.050675105,27160000.0,375961.0046946153,28032.859142095935
2004-06-03,3421042.6016388666,329346.75531534577,3491474.2159214686,6751638.654338942,7561321.053174055,1301262.9928220902,2447565.0044661243,27135000.0,372600.7812103682,27528.238842092494
2004-06-04,3471159.7862488627,331889.2183908205,3534140.8649969883,6772242.906023705,7676278.42380384,1324024.8631254414,2471317.958257144,27290000.0,375288.95999776584,27888.681913523524
2004-06-07,3509074.525910338,334969.51019379956,3561946.0969787873,6873391.050657997,7771597.243617702,1315275.031954302,2485468.6541326446,27628000.0,377977.1387851635,28326.01950685984
2004-06-08,3506459.716278512,335360.6583592572,3560507.8953245566,6836865.33176228,7761059.484643306,1307725.3534760384,2485266.5013344237,27670000.0,375384.96638303006,27701.25151637939
2004-06-09,3479440.0167496447,334138.32034220203,3535579.066651219,6846230.9007099,7735194.076251604,1309130.660475389,2477382.5422037872,27655000.0,369144.55134085694,27047.648080184455
2004-06-10,3502537.501830773,334627.2555490241,3546605.2793336567,6857469.583447043,7752916.670890362,1308792.1558697063,2486479.418123752,27790000.0,370488.6407345557,27609.939271616862
2004-06-11,3497743.684172426,333893.85273879097,3546125.8787822467,6869644.823078949,7719866.426834299,1309766.63882546,2477382.5422037872,27790000.0,370488.6407345557,27609.939271616862
2004-06-14,3428451.2289290396,329933.47756353224,3491953.6164728785,6825626.649025137,7618320.749444657,1295918.723138428,2457167.2623816426,27533000.0,368280.49387347914,27177.407585899626
2004-06-15,3497743.684172426,332397.7110059155,3535099.6660998086,6858406.140341805,7683463.259468202,1310966.7915183364,2475057.78502424,27865000.0,372600.7812103682,27547.462472568815
2004-06-16,3486480.204386882,334535.78774425643,3560507.8953245566,6894743.300982117,7726796.490032942,1317053.9509659247,2481616.234108079,28030000.0,369240.55772612116,27499.403396378013
2004-06-17,3480848.4644941096,334994.64439586387,3567698.9035957116,6879835.747898912,7769166.759918467,1294491.4274148308,2480909.9395913584,28000000.0,373368.8322924818,28460.584920194087
2004-06-18,3476516.3568842853,335834.25443923066,3589751.328960587,6875177.13756041,7770129.720597683,1287624.1261156127,2503309.565693086,28076000.0,379321.22817886237,28744.133469719833
2004-06-21,3476083.1461233026,336039.2754963318,3586874.925652125,6902197.0775237195,7789388.934182013,1271364.3275237414,2489183.675358663,28164000.0,378265.1579409561,28153.006832572944
2004-06-22,3431029.2269811262,331841.2252794979,3546605.2793336567,6899401.911320618,7717648.363580386,1277369.3667764212,2475057.78502424,28003000.0,379225.22179359815,28186.64818590651
2004-06-23,3450090.5004643546,332573.4433405736,3566260.7019414804,6866791.638951108,7750389.026673746,1276014.3835604317,2477075.769357729,28137000.0,379225.22179359815,28225.09544685915
2004-06-24,3484314.1505819694,335375.39778762317,3603653.944951487,6848157.197597102,7825981.439992239,1279525.0218927676,2484239.613741615,28279000.0,386903.788673752,29666.376916486
2004-06-25,3486480.204386882,335717.09954945854,3589751.328960587,6851884.085867904,7780240.807729457,1269762.9837230267,2474048.7928574956,28310000.0,386711.8245017481,29435.771881345703
2004-06-28,3546263.289402462,339212.22042765975,3615118.905018575,6875177.13756041,7836574.00746362,1287634.3911399762,2484441.412174964,28416000.0,384888.16486771154,28335.593692863873
2004-06-29,3545396.867880497,338470.2394591031,3599323.9991711485,6911514.298200722,7780240.807729457,1283764.4769549158,2484340.512958289,28345000.0,376729.6875575481,28119.401472419846
2004-06-30,3541064.7602706724,337240.11311649595,3581614.5592816095,6922694.963013126,7716685.40290117,1294265.5968788324,2499576.2946761316,28217000.0,376825.66964355006,27749.47256188229
2004-07-01,3500342.9487383207,338138.3006047488,3565819.653434183,6885426.080305114,7746055.703617272,1288506.9182108783,2494834.031492432,28063000.0,380089.06056761544,28513.351740784517
2004-07-02,3492545.155040636,333940.2503879149,3539016.176844611,6836044.810716999,7737870.5378439315,1283302.5508585558,2479093.753691218,28058000.0,382296.6485456597,28816.02084940616
2004-07-05,3483447.7290600045,331938.85435430805,3533751.208228802,6766165.655639477,7753277.908711395,1282327.3735440182,2476571.273274357,28050000.0,382296.6485456597,28816.02084940616
2004-07-06,3430162.8054591613,327984.87682449934,3509819.532702398,6747531.2142854715,7722944.647316077,1290323.8275232275,2458005.817406258,27907000.0,376825.66964355006,28652.675616181783
2004-07-07,3435794.545351933,327008.58607639844,3506947.731639229,6708398.88744206,7760981.594145128,1284657.5340745451,2476066.7771909847,27898000.0,386135.9319857366,29354.09926473352
2004-07-08,3404603.370561196,327760.32995243615,3516520.401849791,6731691.939134567,7773981.56331455,1277646.5224342372,2475057.78502424,27913000.0,391414.94671584235,30843.423450014594
2004-07-09,3400704.473712354,328131.3204367145,3515084.5013182065,6772687.710113379,7739796.459202365,1278775.6751142282,2476066.7771909847,28043000.0,391127.00045783655,31040.398584196933
2004-07-12,3383376.043273055,325788.2226412723,3499768.228981308,6837908.254852399,7763388.995843168,1279545.5519414947,2469003.832023773,27855000.0,391702.89297384815,31362.28477908026
2004-07-13,3397238.787624494,326129.92440310767,3504554.564086589,6862133.028612607,7778314.886371024,1280459.139109851,2495439.4267924787,27889000.0,385847.9857277308,30641.644044266835
2004-07-14,3384242.46479502,325293.4414950128,3496896.42791814,6853747.530003305,7730193.660892362,1279894.1234037862,2488088.941453502,27731000.0,389111.37665179616,31698.58378865986
2004-07-15,3357816.6083750897,320717.38793896436,3459084.3805864216,6841635.1431232,7688809.406980712,1283859.5063590778,2479127.39083475,27574000.0,387959.59161977307,31958.014453192693
2004-07-16,3333556.8057600716,321071.663052981,3456212.5795232533,6850952.363800203,7705651.835898244,1306686.140884098,2478523.2413548343,27541000.0,390263.16168381926,32246.270747118062
2004-07-19,3304531.6847742465,318837.76163959823,3443289.474738995,6746599.492217772,7675816.676101473,1311576.0949947683,2457982.159037695,27448000.0,389303.34082380007,31645.736801440205
2004-07-20,3342654.2317407033,319831.7001539227,3454298.0454811407,6768960.821842578,7695546.378547724,1302741.3039544814,2464929.8780567273,27476000.0,385752.00364172884,31703.388060225283
2004-07-21,3351751.657721335,323128.4269093555,3481580.1555812415,6791322.151467385,7732118.509911508,1305176.0079969792,2482047.4466543435,27574000.0,381144.8635136366,30732.925204009873
2004-07-22,3314928.7430378255,317322.25142963807,3421272.3332547033,6750326.380488573,7627214.238368023,1286941.4102103405,2446805.3936592513,27262000.0,379321.20387960004,30833.81490688375
2004-07-23,3293701.415749685,316731.79290627706,3418400.532191535,6744736.048082371,7503542.688887861,1285030.6298225578,2434823.09564092,27208000.0,374810.0458375096,30430.25609538823
2004-07-26,3263809.873241895,312598.5832427494,3382981.652412457,6697218.222629656,7448684.491842185,1281291.253149692,2418611.7512631775,26965000.0,374618.0816655058,29950.283601770123
2004-07-27,3321860.115213545,316584.17827543675,3413135.563575726,6725169.884660665,7535302.697703778,1297121.9659323457,2451839.9726585504,27114000.0,371450.6728274423,29959.883051642482
2004-07-28,3303665.2632522816,316318.4719399243,3424127.1790843005,6773619.43218108,7509798.448200087,1296454.2200979053,2453853.8042582697,27111000.0,373370.3145474808,30564.648393601303
2004-07-29,3382076.410990108,322636.37813988794,3487209.4941769913,6742872.60394697,7569468.767793628,1295878.931379003,2502085.071071553,27495000.0,371450.6728274423,30454.254720069137
2004-07-30,3382509.62175109,322587.1732629411,3493900.042747428,6672061.726801748,7608446.960431345,1273648.1315985601,2492116.604652941,27645000.0,375289.9562675192,31438.198331986263
2004-08-02,3365181.1913117915,318158.734337733,3467615.7447921406,6671130.004734049,7581017.8619085075,1265892.0069062153,2492116.604652941,27497000.0,375961.83086953266,31726.181828157132
