Ticker,Last Trade,First Notice,First Delivery,Last Delivery,Settle Price
AJF00 Index,2000-01-21,2000-01-21,01/21/00,2000-01-21,2663.68
AJG00 Index,2000-02-18,2000-02-18,02/18/00,2000-02-18,2843.25
AJH00 Index,2000-03-17,2000-03-17,03/17/00,2000-03-17,2706.26
AJJ00 Index,2000-04-21,2000-04-21,04/21/00,2000-04-21,2488.09
AJK00 Index,2000-05-19,2000-05-19,05/19/00,2000-05-19,2634.31
AJM00 Index,2000-06-16,2000-06-16,06/16/00,2000-06-16,2419.0
AJN00 Index,2000-07-21,2000-07-21,07/21/00,2000-07-21,2265.47
AJQ00 Index,2000-08-18,2000-08-18,08/18/00,2000-08-18,2121.72
AJU00 Index,2000-09-15,2000-09-15,09/15/00,2000-09-15,2399.42
AJV00 Index,2000-10-20,2000-10-20,10/20/00,2000-10-20,2187.14
AJX00 Index,2000-11-17,2000-11-17,11/17/00,2000-11-17,1940.59
AJZ00 Index,2000-12-15,2000-12-15,12/15/00,2000-12-15,2062.25
AJF01 Index,2001-01-19,2001-01-19,01/19/01,2001-01-19,1856.88
AJG01 Index,2001-02-16,2001-02-16,02/16/01,2001-02-16,1858.14
AJH01 Index,2001-03-16,2001-03-16,03/16/01,2001-03-16,1780.0
AJJ01 Index,2001-04-20,2001-04-20,04/20/01,2001-04-20,1918.66
AJK01 Index,2001-05-18,2001-05-18,05/18/01,2001-05-18,1855.96
AJM01 Index,2001-06-15,2001-06-15,06/15/01,2001-06-15,1665.52
AJN01 Index,2001-07-20,2001-07-20,07/20/01,2001-07-20,1413.1
AJQ01 Index,2001-08-17,2001-08-17,08/17/01,2001-08-17,1499.04
AJU01 Index,2001-09-21,2001-09-21,09/21/01,2001-09-21,1155.0
AJV01 Index,2001-10-19,2001-10-19,10/19/01,2001-10-19,1309.82
AJX01 Index,2001-11-16,2001-11-16,11/16/01,2001-11-16,1531.45
AJZ01 Index,2001-12-21,2001-12-21,12/21/01,2001-12-21,1414.95
AJF02 Index,2002-01-18,2002-01-18,01/18/02,2002-01-18,1390.56
AJG02 Index,2002-02-15,2002-02-15,02/15/02,2002-02-15,1353.15
AJH02 Index,2002-03-15,2002-03-15,03/15/02,2002-03-15,1293.86
AJJ02 Index,2002-04-19,2002-04-19,04/19/02,2002-04-19,1170.5
AJK02 Index,2002-05-17,2002-05-17,05/17/02,2002-05-17,1258.08
AJM02 Index,2002-06-21,2002-06-21,06/21/02,2002-06-21,1143.28
AJN02 Index,2002-07-19,2002-07-19,07/19/02,2002-07-19,1082.27
AJQ02 Index,2002-08-16,2002-08-16,08/16/02,2002-08-16,1108.35
AJU02 Index,2002-09-20,2002-09-20,09/20/02,2002-09-20,961.21
AJV02 Index,2002-10-18,2002-10-18,10/18/02,2002-10-18,911.18
AJX02 Index,2002-11-15,2002-11-15,11/15/02,2002-11-15,900.82
AJZ02 Index,2002-12-20,2002-12-20,12/20/02,2002-12-20,882.62
AJF03 Index,2003-01-17,2003-01-17,01/17/03,2003-01-17,830.74
AJG03 Index,2003-02-21,2003-02-21,02/21/03,2003-02-21,831.27
AJH03 Index,2003-03-21,2003-03-21,03/21/03,2003-03-21,758.45
AJJ03 Index,2003-04-18,2003-04-18,04/18/03,2003-04-18,
AJK03 Index,2003-05-16,2003-05-16,05/16/03,2003-05-16,868.53
AJM03 Index,2003-06-20,2003-06-20,06/20/03,2003-06-20,951.85
AJN03 Index,2003-07-18,2003-07-18,07/18/03,2003-07-18,1049.32
AJQ03 Index,2003-08-14,2003-08-14,08/14/03,2003-08-14,1096.12
AJU03 Index,2003-09-19,2003-09-19,09/19/03,2003-09-19,1025.95
AJV03 Index,2003-10-17,2003-10-17,10/17/03,2003-10-17,1067.63
AJX03 Index,2003-11-21,2003-11-21,11/21/03,2003-11-21,1066.69
AJZ03 Index,2003-12-19,2003-12-19,12/19/03,2003-12-19,1128.17
AJF04 Index,2004-01-16,2004-01-16,01/16/04,2004-01-16,1299.99
AJG04 Index,2004-02-20,2004-02-20,02/20/04,2004-02-20,1289.64
AJH04 Index,2004-03-19,2004-03-19,03/19/04,2004-03-19,1245.36
AJJ04 Index,2004-04-16,2004-04-16,04/16/04,2004-04-16,1294.94
AJK04 Index,2004-05-21,2004-05-21,05/21/04,2004-05-21,1232.88
AJM04 Index,2004-06-18,2004-06-18,06/18/04,2004-06-18,1255.13
AJN04 Index,2004-07-16,2004-07-16,07/16/04,2004-07-16,1263.78
AJQ04 Index,2004-08-20,2004-08-20,08/20/04,2004-08-20,1174.84
AJU04 Index,2004-09-17,2004-09-17,09/17/04,2004-09-17,1263.22
AJV04 Index,2004-10-15,2004-10-15,10/15/04,2004-10-15,1329.42
AJX04 Index,2004-11-19,2004-11-19,11/19/04,2004-11-19,1444.26
AJZ04 Index,2004-12-17,2004-12-17,12/17/04,2004-12-17,1496.92
AJF05 Index,2005-01-21,2005-01-21,01/21/05,2005-01-21,1629.4
AJG05 Index,2005-02-18,2005-02-18,02/18/05,2005-02-18,1697.22
AJH05 Index,2005-03-18,2005-03-18,03/18/05,2005-03-18,1663.88
AJJ05 Index,2005-04-15,2005-04-15,04/15/05,2005-04-15,1648.25
AJK05 Index,2005-05-20,2005-05-20,05/20/05,2005-05-20,1616.77
AJM05 Index,2005-06-17,2005-06-17,06/17/05,2005-06-17,1742.06
AJN05 Index,2005-07-15,2005-07-15,07/15/05,2005-07-15,1747.98
AJQ05 Index,2005-08-19,2005-08-19,08/19/05,2005-08-19,1850.05
AJU05 Index,2005-09-16,2005-09-16,09/16/05,2005-09-16,1812.47
AJV05 Index,2005-10-21,2005-10-21,10/21/05,2005-10-21,1799.24
AJX05 Index,2005-11-18,2005-11-18,11/18/05,2005-11-18,1969.69
AJZ05 Index,2005-12-16,2005-12-16,12/16/05,2005-12-16,2010.78
AJF06 Index,2006-01-20,2006-01-20,01/20/06,2006-01-20,2190.93
AJG06 Index,2006-02-17,2006-02-17,02/17/06,2006-02-17,2250.47
AJH06 Index,2006-03-17,2006-03-17,03/17/06,2006-03-17,2285.2
AJJ06 Index,2006-04-20,2006-04-20,04/20/06,2006-04-20,2255.78
AJK06 Index,2006-05-19,2006-05-19,05/19/06,2006-05-19,2069.78
AJM06 Index,2006-06-16,2006-06-16,06/16/06,2006-06-16,2015.09
AJN06 Index,2006-07-21,2006-07-21,07/21/06,2006-07-21,1964.28
