Ticker,Last Trade,First Notice,First Delivery,Last Delivery,Settle Price
BEF00 Index,2000-01-21,2000-01-21,01/24/00,2000-01-24,2943.48
BEG00 Index,2000-02-18,2000-02-18,02/21/00,2000-02-21,2836.29
BEH00 Index,2000-03-17,2000-03-17,03/20/00,2000-03-20,2823.23
BEJ00 Index,2000-04-20,2000-04-20,04/25/00,2000-04-25,2839.32
BEK00 Index,2000-05-19,2000-05-19,05/22/00,2000-05-22,2889.38
BEM00 Index,2000-06-16,2000-06-16,06/19/00,2000-06-19,2917.5
BEN00 Index,2000-07-19,2000-07-19,07/20/00,2000-07-20,3001.0
BEQ00 Index,2000-08-18,2000-08-18,08/21/00,2000-08-21,3145.1
BEU00 Index,2000-09-15,2000-09-15,09/18/00,2000-09-18,3030.22
BEV00 Index,2000-10-20,2000-10-20,10/23/00,2000-10-23,3055.42
BEX00 Index,2000-11-17,2000-11-17,11/20/00,2000-11-20,3123.85
BEZ00 Index,2000-12-15,2000-12-15,12/18/00,2000-12-18,2961.24
BEF01 Index,2001-01-19,2001-01-19,01/22/01,2001-01-22,2974.34
BEG01 Index,2001-02-16,2001-02-16,02/19/01,2001-02-19,3006.75
BEH01 Index,2001-03-16,2001-03-16,03/19/01,2001-03-19,2794.3
BEJ01 Index,2001-04-20,2001-04-20,04/23/01,2001-04-23,2849.45
BEK01 Index,2001-05-18,2001-05-18,05/21/01,2001-05-21,2769.07
BEM01 Index,2001-06-15,2001-06-15,06/18/01,2001-06-18,2811.88
BEN01 Index,2001-07-20,2001-07-20,07/23/01,2001-07-23,2942.48
BEQ01 Index,2001-08-17,2001-08-17,08/20/01,2001-08-20,2867.71
BEU01 Index,2001-09-21,2001-09-21,09/24/01,2001-09-24,2230.58
BEV01 Index,2001-10-19,2001-10-19,10/22/01,2001-10-22,2562.32
BEX01 Index,2001-11-16,2001-11-16,11/19/01,2001-11-19,2680.5
BEZ01 Index,2001-12-21,2001-12-21,12/24/01,2001-12-24,2649.01
BEF02 Index,2002-01-18,2002-01-18,01/21/02,2002-01-21,2709.18
BEG02 Index,2002-02-15,2002-02-15,02/18/02,2002-02-18,2808.79
BEH02 Index,2002-03-15,2002-03-15,03/18/02,2002-03-18,2677.61
BEJ02 Index,2002-04-19,2002-04-19,04/22/02,2002-04-22,2855.73
BEK02 Index,2002-05-17,2002-05-17,05/21/02,2002-05-21,2849.97
BEM02 Index,2002-06-21,2002-06-21,06/24/02,2002-06-24,2471.87
BEN02 Index,2002-07-19,2002-07-19,07/22/02,2002-07-22,2243.95
BEQ02 Index,2002-08-16,2002-08-16,08/19/02,2002-08-19,2184.59
BEU02 Index,2002-09-20,2002-09-20,09/23/02,2002-09-23,1965.41
BEV02 Index,2002-10-18,2002-10-18,10/21/02,2002-10-21,2016.38
BEX02 Index,2002-11-15,2002-11-15,11/18/02,2002-11-18,2034.13
BEZ02 Index,2002-12-20,2002-12-20,12/23/02,2002-12-23,1966.38
BEF03 Index,2003-01-17,2003-01-17,01/20/03,2003-01-20,1967.57
BEG03 Index,2003-02-21,2003-02-21,02/24/03,2003-02-24,1760.65
BEH03 Index,2003-03-21,2003-03-21,03/24/03,2003-03-24,1736.39
BEJ03 Index,2003-04-17,2003-04-17,04/22/03,2003-04-22,1869.41
BEK03 Index,2003-05-16,2003-05-16,05/19/03,2003-05-19,1958.39
BEM03 Index,2003-06-20,2003-06-20,06/23/03,2003-06-23,1950.21
BEN03 Index,2003-07-18,2003-07-18,07/22/03,2003-07-22,1971.7
BEQ03 Index,2003-08-15,2003-08-15,08/18/03,2003-08-18,2065.51
BEU03 Index,2003-09-19,2003-09-19,09/22/03,2003-09-22,2134.18
BEV03 Index,2003-10-17,2003-10-17,10/20/03,2003-10-20,2143.76
BEX03 Index,2003-11-21,2003-11-21,11/24/03,2003-11-24,2161.62
BEZ03 Index,2003-12-19,2003-12-19,12/22/03,2003-12-22,2188.3
BEF04 Index,2004-01-16,2004-01-16,01/19/04,2004-01-19,2381.37
BEG04 Index,2004-02-20,2004-02-20,02/23/04,2004-02-23,2481.1
BEH04 Index,2004-03-19,2004-03-19,03/22/04,2004-03-22,2371.11
BEJ04 Index,2004-04-16,2004-04-16,04/19/04,2004-04-19,2484.47
BEK04 Index,2004-05-21,2004-05-21,05/24/04,2004-05-24,2431.96
BEM04 Index,2004-06-18,2004-06-18,06/21/04,2004-06-21,2461.31
BEN04 Index,2004-07-16,2004-07-16,07/19/04,2004-07-19,2455.98
BEQ04 Index,2004-08-20,2004-08-20,08/23/04,2004-08-23,2482.48
BEU04 Index,2004-09-17,2004-09-17,09/20/04,2004-09-20,2667.72
BEV04 Index,2004-10-15,2004-10-15,10/18/04,2004-10-18,2733.4
BEX04 Index,2004-11-19,2004-11-19,11/22/04,2004-11-22,2860.27
BEZ04 Index,2004-12-17,2004-12-17,12/20/04,2004-12-20,2930.0
BEF05 Index,2005-01-21,2005-01-21,01/24/05,2005-01-24,2974.1
BEG05 Index,2005-02-18,2005-02-18,02/21/05,2005-02-21,3111.6
BEH05 Index,2005-03-18,2005-03-18,03/21/05,2005-03-21,3095.4
BEJ05 Index,2005-04-15,2005-04-15,04/18/05,2005-04-18,3151.7
BEK05 Index,2005-05-20,2005-05-20,05/23/05,2005-05-23,3071.1
BEM05 Index,2005-06-17,2005-06-17,06/20/05,2005-06-20,3113.6
BEN05 Index,2005-07-15,2005-07-15,07/18/05,2005-07-18,3169.8
BEQ05 Index,2005-08-19,2005-08-19,08/22/05,2005-08-22,3253.8
BEU05 Index,2005-09-16,2005-09-16,09/19/05,2005-09-19,3277.0
BEV05 Index,2005-10-21,2005-10-21,10/24/05,2005-10-24,3240.25
BEX05 Index,2005-11-18,2005-11-18,11/21/05,2005-11-21,3370.7
BEZ05 Index,2005-12-16,2005-12-16,12/19/05,2005-12-19,3495.9
BEF06 Index,2006-01-20,2006-01-20,01/23/06,2006-01-23,3683.96
BEG06 Index,2006-02-17,2006-02-17,02/20/06,2006-02-20,3794.52
BEH06 Index,2006-03-17,2006-03-17,03/20/06,2006-03-20,3967.4
BEJ06 Index,2006-04-21,2006-04-21,04/24/06,2006-04-24,3898.55
BEK06 Index,2006-05-19,2006-05-19,05/22/06,2006-05-22,3706.84
BEM06 Index,2006-06-16,2006-06-16,06/19/06,2006-06-19,3527.43
BEN06 Index,2006-07-21,2006-07-21,07/24/06,2006-07-24,3657.04
BEQ06 Index,2006-08-18,2006-08-18,08/21/06,2006-08-21,3916.87
BEU06 Index,2006-09-15,2006-09-15,09/18/06,2006-09-18,3982.69
