Ticker,Last Trade,First Notice,First Delivery,Last Delivery,Settle Price
CFF00 Index,2000-01-31,2000-01-31,01/31/00,2000-01-31,5674.8
CFG00 Index,2000-02-29,2000-02-29,02/29/00,2000-02-29,6249.7
CFH00 Index,2000-03-31,2000-03-31,03/31/00,2000-03-31,6304.4
CFJ00 Index,2000-04-28,2000-04-28,04/28/00,2000-04-28,6434.2
CFK00 Index,2000-05-31,2000-05-31,05/31/00,2000-05-31,6383.6
CFM00 Index,2000-06-30,2000-06-30,06/30/00,2000-06-30,6409.1
CFN00 Index,2000-07-31,2000-07-31,07/31/00,2000-07-31,6433.4
CFQ00 Index,2000-08-31,2000-08-31,08/31/00,2000-08-31,6652.1
CFU00 Index,2000-09-29,2000-09-29,09/29/00,2000-09-29,6300.4
CFV00 Index,2000-10-31,2000-10-31,10/31/00,2000-10-31,6357.9
CFX00 Index,2000-11-30,2000-11-30,11/30/00,2000-11-30,5907.6
CFZ00 Index,2000-12-29,2000-12-29,12/29/00,2000-12-29,5915.6
CFF01 Index,2001-01-31,2001-01-31,01/31/01,2001-01-31,5935.6
CFG01 Index,2001-02-28,2001-02-28,02/28/01,2001-02-28,5383.4
CFH01 Index,2001-03-30,2001-03-30,03/30/01,2001-03-30,5205.2
CFJ01 Index,2001-04-30,2001-04-30,04/30/01,2001-04-30,5636.8
CFK01 Index,2001-05-31,2001-05-31,05/31/01,2001-05-31,5447.7
CFM01 Index,2001-06-29,2001-06-29,06/29/01,2001-06-29,5160.4
CFN01 Index,2001-07-31,2001-07-31,07/31/01,2001-07-31,5049.6
CFQ01 Index,2001-08-31,2001-08-31,08/31/01,2001-08-31,4693.9
CFU01 Index,2001-09-28,2001-09-28,09/28/01,2001-09-28,4052.4
CFV01 Index,2001-10-31,2001-10-31,10/31/01,2001-10-31,4347.2
CFX01 Index,2001-11-30,2001-11-30,11/30/01,2001-11-30,4474.3
CFZ01 Index,2001-12-28,2001-12-28,12/28/01,2001-12-28,4622.0
CFF02 Index,2002-01-31,2002-01-31,01/31/02,2002-01-31,4469.6
CFG02 Index,2002-02-28,2002-02-28,02/28/02,2002-02-28,4446.9
CFH02 Index,2002-03-28,2002-03-28,03/28/02,2002-03-28,4681.2
CFJ02 Index,2002-04-30,2002-04-30,04/30/02,2002-04-30,4401.4
CFK02 Index,2002-05-31,2002-05-31,05/31/02,2002-05-31,4265.3
CFM02 Index,2002-06-28,2002-06-28,06/28/02,2002-06-28,3840.1
CFN02 Index,2002-07-31,2002-07-31,07/31/02,2002-07-31,3401.4
CFQ02 Index,2002-08-30,2002-08-30,08/30/02,2002-08-30,3339.3
CFU02 Index,2002-09-30,2002-09-30,09/30/02,2002-09-30,2776.7
CFV02 Index,2002-10-31,2002-10-31,10/31/02,2002-10-31,3135.4
CFX02 Index,2002-11-29,2002-11-29,11/29/02,2002-11-29,3335.9
CFZ02 Index,2002-12-31,2002-12-31,12/31/02,2002-12-31,3053.5
CFF03 Index,2003-01-31,2003-01-31,01/31/03,2003-01-31,2898.4
CFG03 Index,2003-02-28,2003-02-28,02/28/03,2003-02-28,2735.4
CFH03 Index,2003-03-31,2003-03-31,03/31/03,2003-03-31,2617.0
CFJ03 Index,2003-04-30,2003-04-30,04/30/03,2003-04-30,2979.0
CFK03 Index,2003-05-30,2003-05-30,05/30/03,2003-05-30,2978.8
CFM03 Index,2003-06-30,2003-06-30,06/30/03,2003-06-30,3121.6
CFN03 Index,2003-07-31,2003-07-31,07/31/03,2003-07-31,3211.5
CFQ03 Index,2003-08-29,2003-08-29,08/29/03,2003-08-29,3315.2
CFU03 Index,2003-09-30,2003-09-30,09/30/03,2003-09-30,3150.6
CFV03 Index,2003-10-31,2003-10-31,10/31/03,2003-10-31,3368.6
CFX03 Index,2003-11-28,2003-11-28,11/28/03,2003-11-28,3410.4
CFZ03 Index,2003-12-31,2003-12-31,12/31/03,2003-12-31,3562.6
CFF04 Index,2004-01-30,2004-01-30,01/30/04,2004-01-30,3659.0
CFG04 Index,2004-02-27,2004-02-27,02/27/04,2004-02-27,3748.9
CFH04 Index,2004-03-31,2004-03-31,03/31/04,2004-03-31,3657.1
CFJ04 Index,2004-04-30,2004-04-30,04/30/04,2004-04-30,3668.4
CFK04 Index,2004-05-31,2004-05-31,05/31/04,2004-05-31,3673.1
CFM04 Index,2004-06-30,2004-06-30,06/30/04,2004-06-30,3752.6
CFN04 Index,2004-07-30,2004-07-30,07/30/04,2004-07-30,3644.5
CFQ04 Index,2004-08-31,2004-08-31,08/31/04,2004-08-31,3612.4
CFU04 Index,2004-09-30,2004-09-30,09/30/04,2004-09-30,3675.3
CFV04 Index,2004-10-15,2004-10-15,10/15/04,2004-10-15,3657.5
CFX04 Index,2004-11-19,2004-11-19,11/19/04,2004-11-19,3830.2
CFZ04 Index,2004-12-17,2004-12-17,12/17/04,2004-12-17,3746.8
CFF05 Index,2005-01-21,2005-01-21,01/21/05,2005-01-21,3846.4
CFG05 Index,2005-02-18,2005-02-18,02/18/05,2005-02-18,4032.5
CFH05 Index,2005-03-18,2005-03-18,03/18/05,2005-03-18,4058.0
CFJ05 Index,2005-04-15,2005-04-15,04/15/05,2005-04-15,4048.6
CFK05 Index,2005-05-20,2005-05-20,05/20/05,2005-05-20,4104.5
CFM05 Index,2005-06-17,2005-06-17,06/17/05,2005-06-17,4236.5
CFN05 Index,2005-07-15,2005-07-15,07/15/05,2005-07-15,4375.8
CFQ05 Index,2005-08-19,2005-08-19,08/19/05,2005-08-19,4467.7
CFU05 Index,2005-09-16,2005-09-16,09/16/05,2005-09-16,4518.5
CFV05 Index,2005-10-21,2005-10-21,10/21/05,2005-10-21,4365.7
CFX05 Index,2005-11-18,2005-11-18,11/18/05,2005-11-18,4555.0
