Ticker,Last Trade,First Notice,First Delivery,Last Delivery,Settle Price
EOF00 Index,2000-01-21,2000-01-21,01/21/00,2000-01-21,641.84
EOG00 Index,2000-02-18,2000-02-18,02/18/00,2000-02-18,672.25
EOH00 Index,2000-03-17,2000-03-17,03/17/00,2000-03-17,667.4
EOJ00 Index,2000-04-20,2000-04-20,04/20/00,2000-04-20,656.85
EOK00 Index,2000-05-19,2000-05-19,05/19/00,2000-05-19,653.39
EOM00 Index,2000-06-16,2000-06-16,06/16/00,2000-06-16,685.65
EON00 Index,2000-07-21,2000-07-21,07/21/00,2000-07-21,679.89
EOQ00 Index,2000-08-18,2000-08-18,08/18/00,2000-08-18,690.61
EOU00 Index,2000-09-15,2000-09-15,09/15/00,2000-09-15,673.61
EOV00 Index,2000-10-20,2000-10-20,10/20/00,2000-10-20,655.52
EOX00 Index,2000-11-17,2000-11-17,11/17/00,2000-11-17,677.58
EOZ00 Index,2000-12-15,2000-12-15,12/15/00,2000-12-15,625.31
EOF01 Index,2001-01-19,2001-01-19,01/19/01,2001-01-19,630.16
EOG01 Index,2001-02-16,2001-02-16,02/16/01,2001-02-16,613.21
EOH01 Index,2001-03-16,2001-03-16,03/16/01,2001-03-16,558.01
EOJ01 Index,2001-04-20,2001-04-20,04/20/01,2001-04-20,577.88
EOK01 Index,2001-05-18,2001-05-18,05/18/01,2001-05-18,597.54
EOM01 Index,2001-06-15,2001-06-15,06/15/01,2001-06-15,555.96
EON01 Index,2001-07-20,2001-07-20,07/20/01,2001-07-20,535.16
EOQ01 Index,2001-08-17,2001-08-17,08/17/01,2001-08-17,522.78
EOU01 Index,2001-09-21,2001-09-21,09/21/01,2001-09-21,381.03
EOV01 Index,2001-10-19,2001-10-19,10/19/01,2001-10-19,445.55
EOX01 Index,2001-11-16,2001-11-16,11/16/01,2001-11-16,502.34
EOZ01 Index,2001-12-21,2001-12-21,12/21/01,2001-12-21,491.62
EOF02 Index,2002-01-18,2002-01-18,01/18/02,2002-01-18,493.39
EOG02 Index,2002-02-15,2002-02-15,02/15/02,2002-02-15,499.43
EOH02 Index,2002-03-15,2002-03-15,03/15/02,2002-03-15,513.59
EOJ02 Index,2002-04-19,2002-04-19,04/19/02,2002-04-19,527.61
EOK02 Index,2002-05-17,2002-05-17,05/17/02,2002-05-17,501.92
EOM02 Index,2002-06-21,2002-06-21,06/21/02,2002-06-21,424.58
EON02 Index,2002-07-19,2002-07-19,07/19/02,2002-07-19,372.33
EOQ02 Index,2002-08-16,2002-08-16,08/16/02,2002-08-16,362.53
EOU02 Index,2002-09-20,2002-09-20,09/20/02,2002-09-20,312.78
EOV02 Index,2002-10-18,2002-10-18,10/18/02,2002-10-18,338.91
EOX02 Index,2002-11-15,2002-11-15,11/15/02,2002-11-15,337.72
EOZ02 Index,2002-12-20,2002-12-20,12/20/02,2002-12-20,322.77
EOF03 Index,2003-01-17,2003-01-17,01/17/03,2003-01-17,321.34
EOG03 Index,2003-02-21,2003-02-21,02/21/03,2003-02-21,280.19
EOH03 Index,2003-03-21,2003-03-21,03/21/03,2003-03-21,275.42
EOJ03 Index,2003-04-17,2003-04-17,04/17/03,2003-04-17,286.39
EOK03 Index,2003-05-16,2003-05-16,05/16/03,2003-05-16,288.66
EOM03 Index,2003-06-20,2003-06-20,06/20/03,2003-06-20,302.4
EON03 Index,2003-07-18,2003-07-18,07/18/03,2003-07-18,309.67
EOQ03 Index,2003-08-15,2003-08-15,08/15/03,2003-08-15,323.49
EOU03 Index,2003-09-19,2003-09-19,09/19/03,2003-09-19,336.97
EOV03 Index,2003-10-17,2003-10-17,10/17/03,2003-10-17,331.87
EOX03 Index,2003-11-21,2003-11-21,11/21/03,2003-11-21,324.87
EOZ03 Index,2003-12-19,2003-12-19,12/19/03,2003-12-19,330.04
EOF04 Index,2004-01-16,2004-01-16,01/16/04,2004-01-16,357.65
EOG04 Index,2004-02-20,2004-02-20,02/20/04,2004-02-20,363.24
EOH04 Index,2004-03-19,2004-03-19,03/19/04,2004-03-19,334.11
EOJ04 Index,2004-04-16,2004-04-16,04/16/04,2004-04-16,352.23
EOK04 Index,2004-05-21,2004-05-21,05/21/04,2004-05-21,329.8
EOM04 Index,2004-06-18,2004-06-18,06/18/04,2004-06-18,342.6
EON04 Index,2004-07-16,2004-07-16,07/16/04,2004-07-16,330.67
EOQ04 Index,2004-08-20,2004-08-20,08/20/04,2004-08-20,315.86
EOU04 Index,2004-09-17,2004-09-17,09/17/04,2004-09-17,335.12
EOV04 Index,2004-10-15,2004-10-15,10/15/04,2004-10-15,327.06
EOX04 Index,2004-11-19,2004-11-19,11/19/04,2004-11-19,342.23
EOZ04 Index,2004-12-17,2004-12-17,12/17/04,2004-12-17,343.41
EOF05 Index,2005-01-21,2005-01-21,01/21/05,2005-01-21,353.61
EOG05 Index,2005-02-18,2005-02-18,02/18/05,2005-02-18,375.31
EOH05 Index,2005-03-18,2005-03-18,03/18/05,2005-03-18,370.15
EOJ05 Index,2005-04-15,2005-04-15,04/15/05,2005-04-15,364.88
EOK05 Index,2005-05-20,2005-05-20,05/20/05,2005-05-20,364.86
EOM05 Index,2005-06-17,2005-06-17,06/17/05,2005-06-17,381.67
EON05 Index,2005-07-15,2005-07-15,07/15/05,2005-07-15,393.82
EOQ05 Index,2005-08-19,2005-08-19,08/19/05,2005-08-19,392.44
EOU05 Index,2005-09-16,2005-09-16,09/16/05,2005-09-16,398.86
EOV05 Index,2005-10-21,2005-10-21,10/21/05,2005-10-21,386.76
EOX05 Index,2005-11-18,2005-11-18,11/18/05,2005-11-18,416.61
EOZ05 Index,2005-12-16,2005-12-16,12/16/05,2005-12-16,436.01
EOF06 Index,2006-01-20,2006-01-20,01/20/06,2006-01-20,436.1
EOG06 Index,2006-02-17,2006-02-17,02/17/06,2006-02-17,464.26
EOH06 Index,2006-03-17,2006-03-17,03/17/06,2006-03-17,464.84
EOJ06 Index,2006-04-21,2006-04-21,04/21/06,2006-04-21,477.84
EOK06 Index,2006-05-19,2006-05-19,05/19/06,2006-05-19,438.04
EOM06 Index,2006-06-16,2006-06-16,06/16/06,2006-06-16,423.11
EON06 Index,2006-07-21,2006-07-21,07/21/06,2006-07-21,436.8
EOQ06 Index,2006-08-18,2006-08-18,08/18/06,2006-08-18,465.03
EOU06 Index,2006-09-15,2006-09-15,09/15/06,2006-09-15,475.57
EOV06 Index,2006-10-20,2006-10-20,10/20/06,2006-10-20,489.08
EOX06 Index,2006-11-17,2006-11-17,11/17/06,2006-11-17,491.75
EOZ06 Index,2006-12-15,2006-12-15,12/15/06,2006-12-15,495.37
EOF07 Index,2007-01-19,2007-01-19,01/19/07,2007-01-19,504.33
EOG07 Index,2007-02-16,2007-02-16,02/16/07,2007-02-16,507.6
EOH07 Index,2007-03-16,2007-03-16,03/16/07,2007-03-16,484.34
EOJ07 Index,2007-04-20,2007-04-20,04/20/07,2007-04-20,537.85
EOK07 Index,2007-05-18,2007-05-18,05/18/07,2007-05-18,536.97
EOM07 Index,2007-06-15,2007-06-15,06/15/07,2007-06-15,551.92
EON07 Index,2007-07-20,2007-07-20,07/20/07,2007-07-20,559.66
EOQ07 Index,2007-08-17,2007-08-17,08/17/07,2007-08-17,502.25
EOU07 Index,2007-09-21,2007-09-21,09/21/07,2007-09-21,545.84
EOV07 Index,2007-10-19,2007-10-19,10/19/07,2007-10-19,552.57
EOX07 Index,2007-11-16,2007-11-16,11/16/07,2007-11-16,500.96
EOZ07 Index,2007-12-21,2007-12-21,12/21/07,2007-12-21,513.9
EOF08 Index,2008-01-18,2008-01-18,01/18/08,2008-01-18,456.06
EOG08 Index,2008-02-15,2008-02-15,02/15/08,2008-02-15,435.7
EOH08 Index,2008-03-20,2008-03-20,03/20/08,2008-03-20,424.24
EOJ08 Index,2008-04-18,2008-04-18,04/18/08,2008-04-18,474.88
EOK08 Index,2008-05-16,2008-05-16,05/16/08,2008-05-16,494.49
EOM08 Index,2008-06-20,2008-06-20,06/20/08,2008-06-20,437.86
EON08 Index,2008-07-18,2008-07-18,07/18/08,2008-07-18,391.71
EOQ08 Index,2008-08-15,2008-08-15,08/15/08,2008-08-15,410.12
EOU08 Index,2008-09-19,2008-09-19,09/19/08,2008-09-19,377.57
EOV08 Index,2008-10-17,2008-10-17,10/17/08,2008-10-17,245.53
EOX08 Index,2008-11-21,2008-11-21,11/21/08,2008-11-21,227.23
EOZ08 Index,2008-12-19,2008-12-19,12/19/08,2008-12-19,250.71
EOF09 Index,2009-01-16,2009-01-16,01/16/09,2009-01-16,251.85
EOG09 Index,2009-02-20,2009-02-20,02/20/09,2009-02-20,230.06
EOH09 Index,2009-03-20,2009-03-20,03/20/09,2009-03-20,212.59
EOJ09 Index,2009-04-17,2009-04-17,04/17/09,2009-04-17,243.78
EOK09 Index,2009-05-15,2009-05-15,05/15/09,2009-05-15,252.74
EOM09 Index,2009-06-19,2009-06-19,06/19/09,2009-06-19,257.11
EON09 Index,2009-07-17,2009-07-17,07/17/09,2009-07-17,266.91
EOQ09 Index,2009-08-21,2009-08-21,08/21/09,2009-08-21,292.81
