Ticker,Last Trade,First Notice,First Delivery,Last Delivery,Settle Price
GXH00 Index,2000-03-17,2000-03-17,03/17/00,2000-03-17,7735.64
GXM00 Index,2000-06-16,2000-06-16,06/16/00,2000-06-16,7280.92
GXU00 Index,2000-09-15,2000-09-15,09/15/00,2000-09-15,7038.94
GXZ00 Index,2000-12-15,2000-12-15,12/15/00,2000-12-15,6397.61
GXH01 Index,2001-03-16,2001-03-16,03/16/01,2001-03-16,5788.52
GXM01 Index,2001-06-15,2001-06-15,06/15/01,2001-06-15,5950.5
GXU01 Index,2001-09-21,2001-09-21,09/21/01,2001-09-21,3611.49
GXZ01 Index,2001-12-21,2001-12-21,12/21/01,2001-12-21,4937.25
GXH02 Index,2002-03-15,2002-03-15,03/15/02,2002-03-15,5288.56
GXM02 Index,2002-06-21,2002-06-21,06/21/02,2002-06-21,4254.45
GXU02 Index,2002-09-20,2002-09-20,09/20/02,2002-09-20,3057.89
GXZ02 Index,2002-12-20,2002-12-20,12/20/02,2002-12-20,2957.51
GXH03 Index,2003-03-21,2003-03-21,03/21/03,2003-03-21,2694.43
GXM03 Index,2003-06-20,2003-06-20,06/20/03,2003-06-20,3269.86
GXU03 Index,2003-09-19,2003-09-19,09/19/03,2003-09-19,3601.28
GXZ03 Index,2003-12-19,2003-12-19,12/19/03,2003-12-19,3894.21
GXH04 Index,2004-03-19,2004-03-19,03/19/04,2004-03-19,3804.04
GXM04 Index,2004-06-18,2004-06-18,06/18/04,2004-06-18,3977.29
GXU04 Index,2004-09-17,2004-09-17,09/17/04,2004-09-17,3984.36
GXZ04 Index,2004-12-17,2004-12-17,12/17/04,2004-12-17,4212.33
GXH05 Index,2005-03-18,2005-03-18,03/18/05,2005-03-18,4332.46
GXM05 Index,2005-06-17,2005-06-17,06/17/05,2005-06-17,4618.65
GXU05 Index,2005-09-16,2005-09-16,09/16/05,2005-09-16,4976.87
GXZ05 Index,2005-12-16,2005-12-16,12/16/05,2005-12-16,5348.8
GXH06 Index,2006-03-17,2006-03-17,03/17/06,2006-03-17,5925.39
GXM06 Index,2006-06-16,2006-06-16,06/16/06,2006-06-16,5475.12
GXU06 Index,2006-09-15,2006-09-15,09/15/06,2006-09-15,5923.33
GXZ06 Index,2006-12-15,2006-12-15,12/15/06,2006-12-15,6595.34
GXH07 Index,2007-03-16,2007-03-16,03/16/07,2007-03-16,6541.01
GXM07 Index,2007-06-15,2007-06-15,06/15/07,2007-06-15,7946.61
GXU07 Index,2007-09-21,2007-09-21,09/21/07,2007-09-21,7831.79
GXZ07 Index,2007-12-21,2007-12-21,12/21/07,2007-12-21,7996.73
GXH08 Index,2008-03-20,2008-03-20,03/20/08,2008-03-20,6326.68
GXM08 Index,2008-06-20,2008-06-20,06/23/08,2008-06-23,6662.58
GXU08 Index,2008-09-19,2008-09-19,09/22/08,2008-09-22,6141.54
GXZ08 Index,2008-12-19,2008-12-19,12/22/08,2008-12-22,4670.22
GXH09 Index,2009-03-20,2009-03-20,03/23/09,2009-03-23,4072.76
GXM09 Index,2009-06-19,2009-06-19,06/22/09,2009-06-22,4841.23
GXU09 Index,2009-09-18,2009-09-18,09/21/09,2009-09-21,5736.87
GXZ09 Index,2009-12-18,2009-12-18,12/21/09,2009-12-21,5883.7
GXH10 Index,2010-03-19,2010-03-19,03/22/10,2010-03-22,6041.48
GXM10 Index,2010-06-18,2010-06-18,06/21/10,2010-06-21,6223.84
GXU10 Index,2010-09-17,2010-09-17,09/20/10,2010-09-20,6303.54
GXZ10 Index,2010-12-17,2010-12-17,12/20/10,2010-12-20,7009.39
GXH11 Index,2011-03-18,2011-03-18,03/21/11,2011-03-21,6689.7
GXM11 Index,2011-06-17,2011-06-17,06/20/11,2011-06-20,7203.67
GXU11 Index,2011-09-16,2011-09-16,09/19/11,2011-09-19,5575.88
GXZ11 Index,2011-12-16,2011-12-16,12/19/11,2011-12-19,5727.94
GXH12 Index,2012-03-16,2012-03-16,03/19/12,2012-03-19,7193.36
GXM12 Index,2012-06-15,2012-06-15,06/18/12,2012-06-18,6243.86
GXU12 Index,2012-09-21,2012-09-21,09/24/12,2012-09-24,7476.08
GXZ12 Index,2012-12-21,2012-12-21,12/24/12,2012-12-24,7629.25
GXH13 Index,2013-03-15,2013-03-15,03/15/13,2013-03-15,8055.04
GXM13 Index,2013-06-21,2013-06-21,06/21/13,2013-06-21,7954.45
GXU13 Index,2013-09-20,2013-09-20,09/20/13,2013-09-20,8712.82
GXZ13 Index,2013-12-20,2013-12-20,12/20/13,2013-12-20,9370.92
GXH14 Index,2014-03-21,2014-03-21,03/21/14,2014-03-21,9343.06
GXM14 Index,2014-06-20,2014-06-20,06/20/14,2014-06-20,10018.07
GXU14 Index,2014-09-19,2014-09-19,09/19/14,2014-09-19,9828.19
GXZ14 Index,2014-12-19,2014-12-19,12/19/14,2014-12-19,9751.86
GXH15 Index,2015-03-20,2015-03-20,03/20/15,2015-03-20,12036.42
GXM15 Index,2015-06-19,2015-06-19,06/19/15,2015-06-19,11177.12
GXU15 Index,2015-09-18,2015-09-18,09/18/15,2015-09-18,9948.61
GXZ15 Index,2015-12-18,2015-12-18,12/18/15,2015-12-18,10599.64
GXH16 Index,2016-03-18,2016-03-18,03/18/16,2016-03-18,9901.45
GXM16 Index,2016-06-17,2016-06-17,06/17/16,2016-06-17,9631.92
GXU16 Index,2016-09-16,2016-09-16,09/16/16,2016-09-16,10264.19
GXZ16 Index,2016-12-16,2016-12-16,12/16/16,2016-12-16,11406.84
GXH17 Index,2017-03-17,2017-03-17,03/17/17,2017-03-17,12084.78
GXM17 Index,2017-06-16,2017-06-16,06/16/17,2017-06-16,12736.2
GXU17 Index,2017-09-15,2017-09-15,09/15/17,2017-09-15,12544.46
GXZ17 Index,2017-12-15,2017-12-15,12/15/17,2017-12-15,13028.33
GXH18 Index,2018-03-16,2018-03-16,03/16/18,2018-03-16,12363.2
GXM18 Index,2018-06-15,2018-06-15,06/15/18,2018-06-15,13075.13
GXU18 Index,2018-09-21,2018-09-21,09/21/18,2018-09-21,12382.73
GXZ18 Index,2018-12-21,2018-12-21,12/21/18,2018-12-21,10570.7
GXH19 Index,2019-03-15,2019-03-15,03/15/19,2019-03-15,11709.85
GXM19 Index,2019-06-21,2019-06-21,06/21/19,2019-06-21,12363.97
GXU19 Index,2019-09-20,2019-09-20,09/20/19,2019-09-20,12474.16
GXZ19 Index,2019-12-20,2019-12-20,12/20/19,2019-12-20,13292.6
GXH20 Index,2020-03-20,2020-03-20,03/20/20,2020-03-20,9006.7
GXM20 Index,2020-06-19,2020-06-19,06/19/20,2020-06-19,12423.77
GXU20 Index,2020-09-18,2020-09-18,09/18/20,2020-09-18,13252.58
GXZ20 Index,2020-12-18,2020-12-18,12/18/20,2020-12-18,13719.22
GXH21 Index,2021-03-19,2021-03-19,03/19/21,2021-03-19,14699.49
GXM21 Index,2021-06-18,2021-06-18,06/18/21,2021-06-18,15613.48
GXU21 Index,2021-09-17,2021-09-17,09/17/21,2021-09-17,15637.17
GXZ21 Index,2021-12-17,2021-12-17,12/17/21,2021-12-17,15530.96
GXH22 Index,2022-03-18,2022-03-18,03/18/22,2022-03-18,14227.37
GXM22 Index,2022-06-17,2022-06-17,06/17/22,2022-06-17,13193.61
GXU22 Index,2022-09-16,2022-09-16,09/16/22,2022-09-16,12750.86
GXZ22 Index,2022-12-16,2022-12-16,12/16/22,2022-12-16,13931.48
GXH23 Index,2023-03-17,2023-03-17,03/17/23,2023-03-17,14967.24
GXM23 Index,2023-06-16,2023-06-16,06/16/23,2023-06-16,16361.07
GXU23 Index,2023-09-15,2023-09-15,09/15/23,2023-09-15,15984.95
GXZ23 Index,2023-12-15,2023-12-15,12/15/23,2023-12-15,16796.17
GXH24 Index,2024-03-15,2024-03-15,03/15/24,2024-03-15,18032.44
GXM4 Index,2024-06-21,2024-06-21,06/21/24,2024-06-21,18191.91
GXU4 Index,2024-09-20,2024-09-20,09/20/24,2024-09-20,18858.13
GXZ4 Index,2024-12-20,2024-12-20,12/20/24,2024-12-20,19683.7
GXH5 Index,2025-03-21,2025-03-21,03/21/25,2025-03-21,22829.68
GXM5 Index,2025-06-20,2025-06-20,06/20/25,2025-06-20,22414.0
GXU5 Index,2025-09-19,2025-09-19,09/19/25,2025-09-19,22538.0
GXZ5 Index,2025-12-19,2025-12-19,12/19/25,2025-12-19,22653.0
GXH6 Index,2026-03-20,2026-03-20,03/20/26,2026-03-20,22781.0
GXM6 Index,2026-06-19,2026-06-19,06/19/26,2026-06-19,22976.0
GXU6 Index,2026-09-18,2026-09-18,09/18/26,2026-09-18,23088.0
GXZ6 Index,2026-12-18,2026-12-18,12/18/26,2026-12-18,23207.0
GXH7 Index,2027-03-19,2027-03-19,03/19/27,2027-03-19,23363.0
GXM7 Index,2027-06-18,2027-06-18,06/18/27,2027-06-18,23589.0
GXU7 Index,2027-09-17,2027-09-17,09/17/27,2027-09-17,23752.0
GXZ7 Index,2027-12-17,2027-12-17,12/17/27,2027-12-17,23897.0
r Index,2028-03-17,2028-03-17,03/17/28,2028-03-17,24041.0
