Ticker,Last Trade,First Notice,First Delivery,Last Delivery,Settle Price
IBF00 Index,2000-01-21,2000-01-21,01/21/00,2000-01-21,10933.7
IBG00 Index,2000-02-18,2000-02-18,02/18/00,2000-02-18,12418.3
IBH00 Index,2000-03-17,2000-03-17,03/17/00,2000-03-17,12384.2
IBJ00 Index,2000-04-20,2000-04-20,04/20/00,2000-04-20,11517.4
IBK00 Index,2000-05-19,2000-05-19,05/19/00,2000-05-19,10521.2
IBM00 Index,2000-06-16,2000-06-16,06/16/00,2000-06-16,10778.0
IBN00 Index,2000-07-21,2000-07-21,07/21/00,2000-07-21,10893.0
IBQ00 Index,2000-08-18,2000-08-18,08/18/00,2000-08-18,11104.2
IBU00 Index,2000-09-15,2000-09-15,09/15/00,2000-09-15,11476.6
IBV00 Index,2000-10-20,2000-10-20,10/20/00,2000-10-20,10542.7
IBX00 Index,2000-11-17,2000-11-17,11/17/00,2000-11-17,9927.2
IBZ00 Index,2000-12-15,2000-12-15,12/15/00,2000-12-15,9232.8
IBF01 Index,2001-01-19,2001-01-19,01/19/01,2001-01-19,10001.9
IBG01 Index,2001-02-16,2001-02-16,02/16/01,2001-02-16,9687.2
IBH01 Index,2001-03-16,2001-03-16,03/16/01,2001-03-16,9276.2
IBJ01 Index,2001-04-20,2001-04-20,04/20/01,2001-04-20,9587.6
IBK01 Index,2001-05-18,2001-05-18,05/18/01,2001-05-18,9728.3
IBM01 Index,2001-06-15,2001-06-15,06/15/01,2001-06-15,9288.8
IBN01 Index,2001-07-20,2001-07-20,07/20/01,2001-07-20,8287.8
IBQ01 Index,2001-08-17,2001-08-17,08/17/01,2001-08-17,8142.8
IBU01 Index,2001-09-21,2001-09-21,09/21/01,2001-09-21,6452.8
IBV01 Index,2001-10-19,2001-10-19,10/19/01,2001-10-19,7573.3
IBX01 Index,2001-11-16,2001-11-16,11/16/01,2001-11-16,8499.5
IBZ01 Index,2001-12-21,2001-12-21,12/21/01,2001-12-21,8238.8
IBF02 Index,2002-01-18,2002-01-18,01/18/02,2002-01-18,7981.7
IBG02 Index,2002-02-15,2002-02-15,02/15/02,2002-02-15,7940.2
IBH02 Index,2002-03-15,2002-03-15,03/15/02,2002-03-15,8292.4
IBJ02 Index,2002-04-19,2002-04-19,04/19/02,2002-04-19,8404.7
IBK02 Index,2002-05-17,2002-05-17,05/17/02,2002-05-17,8148.6
IBM02 Index,2002-06-21,2002-06-21,06/21/02,2002-06-21,6971.3
IBN02 Index,2002-07-19,2002-07-19,07/19/02,2002-07-19,6504.0
IBQ02 Index,2002-08-16,2002-08-16,08/16/02,2002-08-16,6216.5
IBU02 Index,2002-09-20,2002-09-20,09/20/02,2002-09-20,5783.1
IBV02 Index,2002-10-18,2002-10-18,10/18/02,2002-10-18,5940.3
IBX02 Index,2002-11-15,2002-11-15,11/15/02,2002-11-15,6282.2
IBZ02 Index,2002-12-20,2002-12-20,12/20/02,2002-12-20,6166.6
IBF03 Index,2003-01-17,2003-01-17,01/17/03,2003-01-17,6468.6
IBG03 Index,2003-02-21,2003-02-21,02/21/03,2003-02-21,5989.4
IBH03 Index,2003-03-21,2003-03-21,03/21/03,2003-03-21,6227.9
IBJ03 Index,2003-04-17,2003-04-17,04/17/03,2003-04-17,6546.9
IBK03 Index,2003-05-16,2003-05-16,05/16/03,2003-05-16,6447.2
IBM03 Index,2003-06-20,2003-06-20,06/20/03,2003-06-20,6965.8
IBN03 Index,2003-07-18,2003-07-18,07/18/03,2003-07-18,6897.7
IBQ03 Index,2003-08-14,2003-08-14,08/14/03,2003-08-14,7059.8
IBU03 Index,2003-09-19,2003-09-19,09/19/03,2003-09-19,7118.3
IBV03 Index,2003-10-17,2003-10-17,10/17/03,2003-10-17,6984.0
IBX03 Index,2003-11-21,2003-11-21,11/21/03,2003-11-21,7105.1
IBZ03 Index,2003-12-19,2003-12-19,12/19/03,2003-12-19,7608.3
IBF04 Index,2004-01-16,2004-01-16,01/16/04,2004-01-16,7953.6
IBG04 Index,2004-02-20,2004-02-20,02/20/04,2004-02-20,8240.5
IBH04 Index,2004-03-19,2004-03-19,03/19/04,2004-03-19,7840.6
IBJ04 Index,2004-04-16,2004-04-16,04/16/04,2004-04-16,8358.6
IBK04 Index,2004-05-21,2004-05-21,05/21/04,2004-05-21,7784.4
IBM04 Index,2004-06-18,2004-06-18,06/18/04,2004-06-18,8115.7
IBN04 Index,2004-07-16,2004-07-16,07/16/04,2004-07-16,8005.8
IBQ04 Index,2004-08-20,2004-08-20,08/20/04,2004-08-20,7696.4
IBU04 Index,2004-09-17,2004-09-17,09/17/04,2004-09-17,8097.6
IBV04 Index,2004-10-15,2004-10-15,10/15/04,2004-10-15,8241.4
IBX04 Index,2004-11-19,2004-11-19,11/19/04,2004-11-19,8645.1
IBZ04 Index,2004-12-17,2004-12-17,12/17/04,2004-12-17,8851.8
IBF05 Index,2005-01-21,2005-01-21,01/21/05,2005-01-21,8995.6
IBG05 Index,2005-02-18,2005-02-18,02/18/05,2005-02-18,9569.5
IBH05 Index,2005-03-18,2005-03-18,03/18/05,2005-03-18,9267.5
IBJ05 Index,2005-04-15,2005-04-15,04/15/05,2005-04-15,9207.3
IBK05 Index,2005-05-20,2005-05-20,05/20/05,2005-05-20,9376.5
IBM05 Index,2005-06-17,2005-06-17,06/17/05,2005-06-17,9694.6
IBN05 Index,2005-07-15,2005-07-15,07/15/05,2005-07-15,9929.3
IBQ05 Index,2005-08-19,2005-08-19,08/19/05,2005-08-19,10082.1
IBU05 Index,2005-09-16,2005-09-16,09/16/05,2005-09-16,10546.0
IBV05 Index,2005-10-21,2005-10-21,10/21/05,2005-10-21,10363.9
IBX05 Index,2005-11-18,2005-11-18,11/18/05,2005-11-18,10504.5
IBZ05 Index,2005-12-16,2005-12-16,12/16/05,2005-12-16,10577.7
IBF06 Index,2006-01-20,2006-01-20,01/20/06,2006-01-20,10777.2
IBG06 Index,2006-02-17,2006-02-17,02/17/06,2006-02-17,11473.0
IBH06 Index,2006-03-17,2006-03-17,03/17/06,2006-03-17,11879.7
IBJ06 Index,2006-04-21,2006-04-21,04/21/06,2006-04-21,11874.3
IBK06 Index,2006-05-19,2006-05-19,05/19/06,2006-05-19,11267.1
IBM06 Index,2006-06-16,2006-06-16,06/19/06,2006-06-19,11002.3
IBN06 Index,2006-07-21,2006-07-21,07/24/06,2006-07-24,11341.3
IBQ06 Index,2006-08-18,2006-08-18,08/21/06,2006-08-21,12052.7
IBU06 Index,2006-09-15,2006-09-15,09/18/06,2006-09-18,12302.1
IBV06 Index,2006-10-20,2006-10-20,10/23/06,2006-10-23,13510.8
IBX06 Index,2006-11-17,2006-11-17,11/20/06,2006-11-20,14175.4
