Ticker,Last Trade,First Notice,First Delivery,Last Delivery,Settle Price
PPF00 Index,2000-01-21,2000-01-21,01/24/00,2000-01-24,12275.0
PPG00 Index,2000-02-18,2000-02-18,02/21/00,2000-02-21,13978.0
PPH00 Index,2000-03-17,2000-03-17,03/20/00,2000-03-20,14005.0
PPJ00 Index,2000-04-20,2000-04-20,04/26/00,2000-04-26,12082.0
PPK00 Index,2000-05-19,2000-05-19,05/22/00,2000-05-22,11636.0
PPM00 Index,2000-06-16,2000-06-16,06/19/00,2000-06-19,12526.0
PPN00 Index,2000-07-21,2000-07-21,07/24/00,2000-07-24,12221.0
PPQ00 Index,2000-08-18,2000-08-18,08/21/00,2000-08-21,11715.0
PPU00 Index,2000-09-15,2000-09-15,09/18/00,2000-09-18,12035.0
PPV00 Index,2000-10-20,2000-10-20,10/23/00,2000-10-23,10911.0
PPX00 Index,2000-11-17,2000-11-17,11/20/00,2000-11-20,10599.0
PPZ00 Index,2000-12-15,2000-12-15,12/18/00,2000-12-18,10635.0
PPF01 Index,2001-01-19,2001-01-19,01/22/01,2001-01-22,11060.0
PPG01 Index,2001-02-16,2001-02-16,02/19/01,2001-02-19,10575.0
PPH01 Index,2001-03-16,2001-03-16,03/19/01,2001-03-19,10030.0
PPJ01 Index,2001-04-20,2001-04-20,04/23/01,2001-04-23,9914.0
PPK01 Index,2001-05-18,2001-05-18,05/21/01,2001-05-21,9500.0
PPM01 Index,2001-06-15,2001-06-15,06/18/01,2001-06-18,8465.0
PPN01 Index,2001-07-20,2001-07-20,07/23/01,2001-07-23,7985.0
PPQ01 Index,2001-08-17,2001-08-17,08/20/01,2001-08-20,7707.0
PPU01 Index,2001-09-21,2001-09-21,09/24/01,2001-09-24,6690.0
PPV01 Index,2001-10-19,2001-10-19,10/22/01,2001-10-22,7626.0
PPX01 Index,2001-11-16,2001-11-16,11/19/01,2001-11-19,7956.0
PPZ01 Index,2001-12-21,2001-12-21,12/27/01,2001-12-27,7669.0
PPF02 Index,2002-01-18,2002-01-18,01/21/02,2002-01-21,7896.0
PPG02 Index,2002-02-15,2002-02-15,02/18/02,2002-02-18,7443.0
PPH02 Index,2002-03-15,2002-03-15,03/18/02,2002-03-18,7861.0
PPJ02 Index,2002-04-19,2002-04-19,04/22/02,2002-04-22,7688.0
PPK02 Index,2002-05-17,2002-05-17,05/20/02,2002-05-20,7332.0
PPM02 Index,2002-06-21,2002-06-21,06/24/02,2002-06-24,6902.0
PPN02 Index,2002-07-19,2002-07-19,07/22/02,2002-07-22,6356.0
PPQ02 Index,2002-08-16,2002-08-16,08/19/02,2002-08-19,5880.0
