Ticker,Last Trade,First Notice,First Delivery,Last Delivery,Settle Price
STU04 Index,2004-09-17,2004-09-17,09/17/04,2004-09-17,27796
STZ04 Index,2004-12-17,2004-12-17,12/17/04,2004-12-17,30577
STH05 Index,2005-03-18,2005-03-18,03/18/05,2005-03-18,31630
STM05 Index,2005-06-17,2005-06-17,06/17/05,2005-06-17,32928
STU05 Index,2005-09-16,2005-09-16,09/16/05,2005-09-16,34407
STZ05 Index,2005-12-16,2005-12-16,12/16/05,2005-12-16,34906
STH06 Index,2006-03-17,2006-03-17,03/17/06,2006-03-17,38680
STM06 Index,2006-06-16,2006-06-16,06/16/06,2006-06-16,35962
STU06 Index,2006-09-15,2006-09-15,09/15/06,2006-09-15,37872
STZ06 Index,2006-12-15,2006-12-15,12/15/06,2006-12-15,41285
STH07 Index,2007-03-16,2007-03-16,03/16/07,2007-03-16,39955
STM07 Index,2007-06-15,2007-06-15,06/15/07,2007-06-15,42768
STU07 Index,2007-09-21,2007-09-21,09/21/07,2007-09-21,39930
STZ07 Index,2007-12-21,2007-12-21,12/21/07,2007-12-21,38129
STH08 Index,2008-03-20,2008-03-20,03/20/08,2008-03-20,30495
STM08 Index,2008-06-20,2008-06-20,06/20/08,2008-06-20,30338
STU08 Index,2008-09-19,2008-09-19,09/19/08,2008-09-19,26882
STZ08 Index,2008-12-19,2008-12-19,12/19/08,2008-12-19,19153
STH09 Index,2009-03-20,2009-03-20,03/20/09,2009-03-20,14646
STM09 Index,2009-06-19,2009-06-19,06/19/09,2009-06-19,19417
STU09 Index,2009-09-18,2009-09-18,09/18/09,2009-09-18,23658
STZ09 Index,2009-12-18,2009-12-18,12/18/09,2009-12-18,22696
STH10 Index,2010-03-19,2010-03-19,03/19/10,2010-03-19,22925
STM10 Index,2010-06-18,2010-06-18,06/18/10,2010-06-18,20636
STU10 Index,2010-09-17,2010-09-17,09/17/10,2010-09-17,20865
STZ10 Index,2010-12-17,2010-12-17,12/17/10,2010-12-17,20442
STH11 Index,2011-03-18,2011-03-18,03/18/11,2011-03-18,21316
STM11 Index,2011-06-17,2011-06-17,06/17/11,2011-06-17,19663
STU11 Index,2011-09-16,2011-09-16,09/16/11,2011-09-16,14872
STZ11 Index,2011-12-16,2011-12-16,12/16/11,2011-12-16,14659
STH12 Index,2012-03-16,2012-03-16,03/16/12,2012-03-16,17021
STM12 Index,2012-06-15,2012-06-15,06/15/12,2012-06-15,13162
STU12 Index,2012-09-21,2012-09-21,09/21/12,2012-09-21,15927
STZ12 Index,2012-12-21,2012-12-21,12/21/12,2012-12-21,16258
STH13 Index,2013-03-15,2013-03-15,03/15/13,2013-03-15,16178
