DATE,EURUSD Curncy,USDEUR Curncy
2000-01-03,1.0245,
2000-01-04,1.0298,
2000-01-05,1.0323,
2000-01-06,1.0329,
2000-01-07,1.0298,
2000-01-10,1.0258,
2000-01-11,1.0338,
2000-01-12,1.0312,
2000-01-13,1.026,
2000-01-14,1.0125,
2000-01-17,1.0125,
2000-01-18,1.0139,
2000-01-19,1.0135,
2000-01-20,1.0171,
2000-01-21,1.01,
2000-01-24,1.0074,
2000-01-25,1.0012,
2000-01-26,1.002,
2000-01-27,0.9884,
2000-01-28,0.9748,
2000-01-31,0.9709,
2000-02-01,0.9713,
2000-02-02,0.9767,
2000-02-03,0.9897,
2000-02-04,0.9834,
2000-02-07,0.9818,
2000-02-08,0.9857,
2000-02-09,0.9945,
2000-02-10,0.9856,
2000-02-11,0.9876,
2000-02-14,0.9785,
2000-02-15,0.9818,
2000-02-16,0.9865,
2000-02-17,0.988,
2000-02-18,0.9841,
2000-02-21,0.988,
2000-02-22,1.004,
2000-02-23,1.0038,
2000-02-24,0.9923,
2000-02-25,0.9753,
2000-02-28,0.9711,
2000-02-29,0.9644,
2000-03-01,0.9731,
2000-03-02,0.9657,
2000-03-03,0.9589,
2000-03-06,0.9588,
2000-03-07,0.9586,
2000-03-08,0.961,
2000-03-09,0.9671,
2000-03-10,0.9639,
2000-03-13,0.9644,
2000-03-14,0.9688,
2000-03-15,0.9672,1.0342
2000-03-16,0.9705,1.0311
2000-03-17,0.9722,1.0286
2000-03-20,0.973,1.0278
2000-03-21,0.9614,1.0399
2000-03-22,0.9611,1.0405
2000-03-23,0.9717,1.0287
2000-03-24,0.978,1.0225
2000-03-27,0.9674,1.0337
2000-03-28,0.9607,1.0409
2000-03-29,0.9517,1.0508
2000-03-30,0.9615,1.04
2000-03-31,0.9557,1.0464
2000-04-03,0.9555,1.0466
2000-04-04,0.9597,1.042
2000-04-05,0.9626,1.0389
2000-04-06,0.9586,1.0432
2000-04-07,0.9555,1.0466
2000-04-10,0.9628,1.0386
2000-04-11,0.9594,1.0428
2000-04-12,0.9593,1.043
2000-04-13,0.9526,1.0501
2000-04-14,0.9625,1.0395
2000-04-17,0.9529,1.0498
2000-04-18,0.9455,1.0581
2000-04-19,0.9405,1.0638
2000-04-20,0.9377,1.0664
2000-04-21,0.9387,1.0658
2000-04-24,0.9382,1.0662
2000-04-25,0.921,1.0861
2000-04-26,0.9237,1.0831
2000-04-27,0.9101,1.0994
2000-04-28,0.912,1.0967
2000-05-01,0.916,1.0922
2000-05-02,0.9102,1.0993
2000-05-03,0.895,1.1178
2000-05-04,0.8898,1.1244
2000-05-05,0.8972,1.1151
2000-05-08,0.8978,1.1143
2000-05-09,0.9077,1.1023
2000-05-10,0.907,1.103
2000-05-11,0.9018,1.1094
2000-05-12,0.9198,1.0876
2000-05-15,0.9114,1.0977
2000-05-16,0.9006,1.1109
2000-05-17,0.896,1.1161
2000-05-18,0.8948,1.1181
2000-05-19,0.8977,1.1145
2000-05-22,0.9033,1.1077
2000-05-23,0.9074,1.1027
2000-05-24,0.9046,1.106
2000-05-25,0.9117,1.0973
2000-05-26,0.9311,1.0746
2000-05-29,0.9269,1.0795
2000-05-30,0.9303,1.0753
