DATE,EURUSD Curncy,USDEUR Curncy
2000-01-03,1.0241,
2000-01-04,1.0294,
2000-01-05,1.0319,
2000-01-06,1.0325,
2000-01-07,1.0293,
2000-01-10,1.0253,
2000-01-11,1.0333,
2000-01-12,1.0307,
2000-01-13,1.0255,
2000-01-14,1.0122,
2000-01-17,1.0121,
2000-01-18,1.0135,
2000-01-19,1.0131,
2000-01-20,1.0166,
2000-01-21,1.0095,
2000-01-24,1.007,
2000-01-25,1.0007,
2000-01-26,1.0017,
2000-01-27,0.988,
2000-01-28,0.9746,
2000-01-31,0.9704,
2000-02-01,0.971,
2000-02-02,0.9764,
2000-02-03,0.9892,
2000-02-04,0.983,
2000-02-07,0.9813,
2000-02-08,0.9853,
2000-02-09,0.994,
2000-02-10,0.9851,
2000-02-11,0.9872,
2000-02-14,0.978,
2000-02-15,0.9813,
2000-02-16,0.9861,
2000-02-17,0.9876,
2000-02-18,0.9836,
2000-02-21,0.9875,
2000-02-22,1.0036,
2000-02-23,1.0034,
2000-02-24,0.9921,
2000-02-25,0.9751,
2000-02-28,0.9707,
2000-02-29,0.964,
2000-03-01,0.9729,
2000-03-02,0.9654,
2000-03-03,0.9585,
2000-03-06,0.9584,
2000-03-07,0.9581,
2000-03-08,0.9606,
2000-03-09,0.9668,
2000-03-10,0.9635,
2000-03-13,0.9639,
2000-03-14,0.9683,
2000-03-15,0.9667,1.0348
2000-03-16,0.97,1.0316
2000-03-17,0.972,1.0288
2000-03-20,0.9725,1.0283
2000-03-21,0.9614,1.0403
2000-03-22,0.9608,1.0408
2000-03-23,0.9713,1.029
2000-03-24,0.9776,1.0229
2000-03-27,0.967,1.0341
2000-03-28,0.9603,1.0413
2000-03-29,0.9512,1.0513
2000-03-30,0.9611,1.0405
2000-03-31,0.9554,1.0467
2000-04-03,0.9552,1.0469
2000-04-04,0.9595,1.0422
2000-04-05,0.9623,1.0392
2000-04-06,0.9581,1.0437
2000-04-07,0.955,1.0471
2000-04-10,0.9625,1.039
2000-04-11,0.959,1.0423
2000-04-12,0.9588,1.0424
2000-04-13,0.9523,1.0498
2000-04-14,0.962,1.039
2000-04-17,0.9526,1.0494
2000-04-18,0.9451,1.0576
2000-04-19,0.94,1.0633
2000-04-20,0.9372,1.067
2000-04-21,0.9383,1.0653
2000-04-24,0.9379,1.0658
2000-04-25,0.9207,1.0858
2000-04-26,0.9233,1.0826
2000-04-27,0.9096,1.0988
2000-04-28,0.9118,1.0965
2000-05-01,0.9156,1.0917
2000-05-02,0.9097,1.0987
2000-05-03,0.8946,1.1173
2000-05-04,0.8894,1.1239
2000-05-05,0.8968,1.1146
2000-05-08,0.8974,1.1138
2000-05-09,0.9072,1.1017
2000-05-10,0.9066,1.1025
2000-05-11,0.9014,1.1089
2000-05-12,0.9195,1.0872
2000-05-15,0.911,1.0972
2000-05-16,0.9002,1.1104
2000-05-17,0.8958,1.116
2000-05-18,0.8944,1.1176
2000-05-19,0.8973,1.114
2000-05-22,0.9028,1.1071
2000-05-23,0.9069,1.1021
2000-05-24,0.9042,1.1053
2000-05-25,0.9113,1.0969
2000-05-26,0.9306,1.074
2000-05-29,0.9264,1.0789
2000-05-30,0.93,1.0749
2000-05-31,0.9377,1.0659
2000-06-01,0.9311,1.0739
2000-06-02,0.9465,1.0564
2000-06-05,0.9477,1.0547
2000-06-06,0.9545,1.0471
2000-06-07,0.962,1.039
2000-06-08,0.9557,1.0459
2000-06-09,0.9534,1.0484
2000-06-12,0.9536,1.0482
2000-06-13,0.9594,1.0419
2000-06-14,0.9577,1.0436
2000-06-15,0.9545,1.0472
2000-06-16,0.9647,1.0366
2000-06-19,0.9565,1.0455
2000-06-20,0.9545,1.0477
2000-06-21,0.944,1.0593
2000-06-22,0.9353,1.0692
2000-06-23,0.9356,1.0688
2000-06-26,0.9366,1.0677
2000-06-27,0.9457,1.0574
2000-06-28,0.94,1.0638
2000-06-29,0.9517,1.0508
2000-06-30,0.9523,1.0486
2000-07-03,0.9499,1.0523
2000-07-04,0.951,1.051
2000-07-05,0.9523,1.0497
2000-07-06,0.9505,1.0521
2000-07-07,0.9482,1.0546
2000-07-10,0.9551,1.047
2000-07-11,0.9524,1.05
2000-07-12,0.9423,1.0609
2000-07-13,0.9369,1.0668
2000-07-14,0.9383,1.0658
2000-07-17,0.9364,1.0679
2000-07-18,0.9246,1.0816
2000-07-19,0.9244,1.0818
2000-07-20,0.9329,1.0719
2000-07-21,0.9367,1.0676
2000-07-24,0.9335,1.0712
2000-07-25,0.9384,1.0656
2000-07-26,0.9426,1.0609
2000-07-27,0.9315,1.0735
2000-07-28,0.9228,1.0837
2000-07-31,0.9265,1.0793
2000-08-01,0.9144,1.0936
2000-08-02,0.9135,1.0947
2000-08-03,0.9059,1.1039
2000-08-04,0.9078,1.1018
2000-08-07,0.9069,1.1021
2000-08-08,0.902,1.1087
2000-08-09,0.9003,1.1095
2000-08-10,0.9081,1.1016
2000-08-11,0.9024,1.1077
2000-08-14,0.9054,1.1046
2000-08-15,0.9133,1.0959
2000-08-16,0.9159,1.0918
2000-08-17,0.9161,1.0916
2000-08-18,0.9062,1.1035
2000-08-21,0.9015,1.1093
2000-08-22,0.8961,1.116
2000-08-23,0.9014,1.1094
2000-08-24,0.9018,1.1089
2000-08-25,0.902,1.1087
2000-08-28,0.8999,1.1114
2000-08-29,0.892,1.1211
2000-08-30,0.8938,1.1188
2000-08-31,0.8878,1.1264
2000-09-01,0.8995,1.1264
2000-09-04,0.8976,1.1146
2000-09-05,0.8901,1.1246
2000-09-06,0.87,1.1494
2000-09-07,0.8711,1.148
2000-09-08,0.8669,1.1535
2000-09-11,0.8575,1.1666
2000-09-12,0.8638,1.1577
2000-09-13,0.8591,1.164
2000-09-14,0.8641,1.1573
2000-09-15,0.854,1.171
2000-09-18,0.8536,1.1715
2000-09-19,0.8506,1.1762
2000-09-20,0.849,1.178
2000-09-21,0.8598,1.1631
2000-09-22,0.8764,1.141
2000-09-25,0.8744,1.1446
2000-09-26,0.8824,1.1333
2000-09-27,0.8831,1.1325
2000-09-28,0.879,1.1377
2000-09-29,0.8822,1.1331
2000-10-02,0.877,1.1403
2000-10-03,0.8758,1.1418
2000-10-04,0.8741,1.144
2000-10-05,0.869,1.1509
2000-10-06,0.868,1.1521
2000-10-09,0.8679,1.1522
2000-10-10,0.8713,1.1477
2000-10-11,0.868,1.1521
2000-10-12,0.8627,1.1593
2000-10-13,0.8558,1.1561
2000-10-16,0.8496,1.1769
2000-10-17,0.8541,1.1711
2000-10-18,0.8387,1.1923
2000-10-19,0.843,1.1862
2000-10-20,0.8418,1.1882
2000-10-23,0.8354,1.1975
2000-10-24,0.8357,1.1967
2000-10-25,0.827,1.2089
2000-10-26,0.8298,1.2051
2000-10-27,0.8388,1.1922
2000-10-30,0.8408,1.1906
2000-10-31,0.8481,1.1783
2000-11-01,0.8612,1.162
2000-11-02,0.8578,1.1656
2000-11-03,0.8661,1.1546
2000-11-06,0.8622,1.159
2000-11-07,0.8597,1.164
2000-11-08,0.8553,1.1696
2000-11-09,0.8661,1.1545
2000-11-10,0.8591,1.1637
2000-11-13,0.8566,1.167
2000-11-14,0.857,1.1669
2000-11-15,0.8566,1.1665
2000-11-16,0.8529,1.173
2000-11-17,0.8472,1.1804
2000-11-20,0.8512,1.1758
2000-11-21,0.8438,1.1854
2000-11-22,0.8454,1.1841
2000-11-23,0.839,1.1929
2000-11-24,0.8373,1.1937
2000-11-27,0.8527,1.1726
2000-11-28,0.8559,1.1689
2000-11-29,0.8573,1.1665
2000-11-30,0.8726,1.1465
2000-12-01,0.8795,1.1371
2000-12-04,0.8855,1.1277
2000-12-05,0.8796,1.1368
2000-12-06,0.8917,1.121
2000-12-07,0.8883,1.125
2000-12-08,0.8884,1.1261
2000-12-11,0.8781,1.1392
2000-12-12,0.8789,1.1378
2000-12-13,0.8767,1.1417
2000-12-14,0.8921,1.1203
2000-12-15,0.8961,1.1166
2000-12-18,0.8956,1.1166
2000-12-19,0.8951,1.1173
2000-12-20,0.9088,1.1004
2000-12-21,0.9161,1.0916
2000-12-22,0.9227,1.0838
2000-12-25,0.9254,1.0809
2000-12-26,0.9298,1.0752
2000-12-27,0.9309,1.0747
2000-12-28,0.9291,1.0763
2000-12-29,0.9422,1.0614
2001-01-01,0.9421,1.062
2001-01-02,0.9512,1.0514
2001-01-03,0.9276,1.0785
2001-01-04,0.9492,1.053
2001-01-05,0.9565,1.0455
2001-01-08,0.9464,1.0568
2001-01-09,0.943,1.0603
2001-01-10,0.9366,1.068
2001-01-11,0.9514,1.051
2001-01-12,0.951,1.0515
2001-01-15,0.9415,1.0621
2001-01-16,0.9424,1.0619
2001-01-17,0.9358,1.0694
2001-01-18,0.9425,1.0609
2001-01-19,0.9337,1.071
2001-01-22,0.9384,1.0663
2001-01-23,0.9354,1.0686
2001-01-24,0.9232,1.0844
2001-01-25,0.924,1.0833
2001-01-26,0.925,1.0811
2001-01-29,0.917,1.0908
2001-01-30,0.9264,1.0804
2001-01-31,0.9363,1.0679
2001-02-01,0.9385,1.0651
2001-02-02,0.9359,1.0678
2001-02-05,0.937,1.0664
2001-02-06,0.9305,1.0735
2001-02-07,0.9283,1.0768
2001-02-08,0.917,1.0897
2001-02-09,0.9237,1.0814
2001-02-12,0.9318,1.0733
2001-02-13,0.9204,1.0863
2001-02-14,0.9178,1.0892
2001-02-15,0.905,1.105
2001-02-16,0.9145,1.0923
2001-02-19,0.9211,1.0854
2001-02-20,0.9111,1.097
