DATE,EURUSD Curncy,USDEUR Curncy
2000-01-03,1.0243,0.9763
2000-01-04,1.0296,0.9713
2000-01-05,1.0321,0.9689
2000-01-06,1.0328,0.9682
2000-01-07,1.0295,0.9713
2000-01-10,1.0256,0.975
2000-01-11,1.0336,0.9675
2000-01-12,1.0309,0.97
2000-01-13,1.0258,0.9748
2000-01-14,1.0122,0.9879
2000-01-17,1.0122,0.9879
2000-01-18,1.0137,0.9865
2000-01-19,1.0133,0.9869
2000-01-20,1.0168,0.9835
2000-01-21,1.0098,0.9903
2000-01-24,1.0072,0.9929
2000-01-25,1.0009,0.9991
2000-01-26,1.0019,0.9981
2000-01-27,0.9882,1.0119
2000-01-28,0.9747,1.026
2000-01-31,0.9707,1.0302
2000-02-01,0.9711,1.0298
2000-02-02,0.9765,1.0241
2000-02-03,0.9894,1.0107
2000-02-04,0.9832,1.0171
2000-02-07,0.9815,1.0188
2000-02-08,0.9855,1.0147
2000-02-09,0.9942,1.0058
2000-02-10,0.9854,1.0148
2000-02-11,0.9875,1.0127
2000-02-14,0.9783,1.0222
2000-02-15,0.9815,1.0188
2000-02-16,0.9863,1.0139
2000-02-17,0.9878,1.0124
2000-02-18,0.9839,1.0164
2000-02-21,0.9877,1.0125
2000-02-22,1.0038,0.9962
2000-02-23,1.0036,0.9964
2000-02-24,0.992,1.0081
2000-02-25,0.9749,1.0257
2000-02-28,0.9709,1.03
2000-02-29,0.9642,1.0371
2000-03-01,0.9727,1.0281
2000-03-02,0.9656,1.0356
2000-03-03,0.9586,1.0432
2000-03-06,0.9586,1.0432
2000-03-07,0.9584,1.0434
2000-03-08,0.961,1.0406
2000-03-09,0.9669,1.0342
2000-03-10,0.9637,1.0377
2000-03-13,0.9642,1.0371
2000-03-14,0.9686,1.0324
2000-03-15,0.9669,1.0342
2000-03-16,0.9696,1.0314
2000-03-17,0.9721,1.0287
2000-03-20,0.9728,1.028
2000-03-21,0.9615,1.04
2000-03-22,0.961,1.0406
2000-03-23,0.9715,1.0293
2000-03-24,0.9779,1.0226
