DATE,GXH00 Index,GXM00 Index,GXU00 Index,GXZ00 Index,GXH01 Index,GXM01 Index,GXU01 Index,GXZ01 Index,GXH02 Index,GXM02 Index,GXU02 Index,GXZ02 Index,GXH03 Index,GXM03 Index,GXU03 Index,GXZ03 Index,GXH04 Index,GXM04 Index,GXU04 Index,GXZ04 Index,GXH05 Index,GXM05 Index,GXU05 Index,GXZ05 Index,GXH06 Index,GXM06 Index,GXU06 Index,GXZ06 Index,GXH07 Index,GXM07 Index,GXU07 Index,GXZ07 Index,GXH08 Index,GXM08 Index,GXU08 Index,GXZ08 Index,GXH09 Index,GXM09 Index,GXU09 Index,GXZ09 Index,GXH10 Index,GXM10 Index,GXU10 Index,GXZ10 Index,GXH11 Index,GXM11 Index,GXU11 Index,GXZ11 Index,GXH12 Index,GXM12 Index,GXU12 Index,GXZ12 Index,GXH13 Index,GXM13 Index,GXU13 Index,GXZ13 Index,GXH14 Index,GXM14 Index,GXU14 Index,GXZ14 Index,GXH15 Index,GXM15 Index,GXU15 Index,GXZ15 Index,GXH16 Index,GXM16 Index,GXU16 Index,GXZ16 Index,GXH17 Index,GXM17 Index,GXU17 Index,GXZ17 Index,GXH18 Index,GXM18 Index,GXU18 Index,GXZ18 Index,GXH19 Index,GXM19 Index,GXU19 Index,GXZ19 Index,GXH20 Index,GXM20 Index,GXU20 Index,GXZ20 Index,GXH21 Index,GXM21 Index,GXU21 Index,GXZ21 Index,GXH22 Index,GXM22 Index,GXU22 Index,GXZ22 Index,GXH23 Index,GXM23 Index,GXU23 Index,GXZ23 Index,GXH24 Index,GXM4 Index,GXU4 Index,GXZ4 Index,GXH5 Index,GXM5 Index,GXU5 Index,GXZ5 Index,GXH6 Index,GXM6 Index,GXU6 Index,GXZ6 Index,GXH7 Index,GXM7 Index,GXU7 Index,GXZ7 Index
2000-01-04,6630.0,6735.0,6931.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-05,6532.0,6589.0,6650.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-06,6505.5,6592.0,6650.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-07,6834.0,6886.5,6954.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-10,6960.0,6886.5,6954.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-11,6940.0,7100.0,6954.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-12,6939.5,7000.0,6954.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-13,7012.0,7068.5,7137.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-14,7229.0,7288.5,7399.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-17,7307.0,7367.0,7399.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-18,7123.0,7367.0,7399.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-19,7138.0,7195.0,7399.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-20,7141.0,7272.0,7399.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-21,7012.5,7235.0,7399.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-24,6950.5,7007.0,7399.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-25,6891.0,6951.5,7399.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-26,6990.0,7077.0,7399.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-27,7162.0,7244.0,7399.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-28,7095.0,7244.0,7399.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-31,6858.0,6930.0,7399.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
