,DATE,GX1 Index,CF1 Index,ST1 Index,EO1 Index,AJ1 Index,PP1 Index,IB1 Index,BE1 Index
0,2000-01-03,6750.76,5917.37,41226.0,675.44,30202.7,11851.54,11610.0,3311.05
1,2000-01-04,6586.95,5672.02,40314.0,642.25,29117.6,11360.05,11206.6,3172.21
2,2000-01-05,6502.07,5479.7,39452.0,632.31,27958.5,11022.64,10863.1,3057.53
3,2000-01-06,6474.92,5450.11,38835.0,624.21,27958.5,11327.74,10863.1,3061.09
4,2000-01-07,6780.96,5539.61,40194.0,644.86,27816.9,11563.53,11102.4,3138.55
5,2000-01-10,6925.52,5646.12,39711.0,655.14,27549.7,11738.37,11173.3,3203.75
6,2000-01-11,6891.25,5613.9,39870.0,648.94,26939.4,11761.77,11012.4,3148.9
7,2000-01-12,6912.81,5582.5,40289.0,638.4,26950.0,11764.32,10851.8,3110.25
8,2000-01-13,6955.98,5633.24,40499.0,642.21,26766.9,11976.35,10931.9,3133.58
9,2000-01-14,7173.22,5787.44,41588.0,655.6,27274.0,12234.14,11184.0,3128.5
10,2000-01-17,7258.9,5842.78,41546.0,661.51,27754.7,12470.27,11285.6,3074.18
11,2000-01-18,7072.12,5672.95,41109.0,647.72,27239.1,12568.36,11066.3,2972.1
12,2000-01-19,7091.04,5649.46,41436.0,642.59,26448.5,12425.59,11120.7,2977.53
13,2000-01-20,7112.66,5709.74,41690.0,644.79,26424.7,12327.23,11047.6,2971.57
14,2000-01-21,6992.75,5681.32,41702.0,641.47,26636.8,12278.19,10969.3,2930.97
15,2000-01-24,6931.99,5690.86,42012.0,645.53,26500.2,12503.56,10955.0,2925.35
16,2000-01-25,6809.64,5597.5,41165.0,640.03,26291.3,12456.21,10863.5,2857.82
17,2000-01-26,6969.37,5646.32,41361.0,637.39,25930.2,12589.67,11031.4,2878.83
18,2000-01-27,7126.13,5688.35,41939.0,634.87,25966.3,12666.56,11206.6,2891.47
19,2000-01-28,7066.6,5731.05,41854.0,632.46,26241.1,12561.79,11009.3,2884.6
20,2000-01-31,6835.6,5659.81,41463.0,612.38,26064.3,12385.55,10835.1,2806.29
21,2000-02-01,7050.46,5773.42,42403.0,619.23,26862.2,12463.42,10970.0,2786.03
22,2000-02-02,7171.95,5946.86,42993.0,629.15,27133.8,12528.57,11195.6,2789.58
23,2000-02-03,7354.26,6149.67,43889.0,649.59,27579.7,12794.59,11544.1,2888.4
24,2000-02-04,7444.61,6275.72,44091.0,660.95,28061.4,13128.66,11580.1,2924.13
25,2000-02-07,7296.32,6203.58,43730.0,652.42,28644.8,13263.99,11506.8,2891.62
26,2000-02-08,7549.88,6297.66,45150.0,667.66,29362.4,13604.07,11834.8,2910.99
27,2000-02-09,7629.11,6271.6,45101.0,667.15,29732.5,13470.47,11939.5,2815.06
28,2000-02-10,7709.27,6207.52,45785.0,661.29,29189.9,13505.37,12020.6,2741.63
29,2000-02-11,7611.55,6287.01,46878.0,662.68,29400.0,13792.83,12432.6,2769.49
30,2000-02-14,7644.8,6268.32,47395.0,654.72,29185.2,13698.38,12458.6,2839.91
31,2000-02-15,7396.13,6092.63,45726.0,652.34,29044.1,13502.5,12165.1,2832.35
32,2000-02-16,7490.32,6046.27,46446.0,660.72,28750.2,13569.74,12235.1,2830.28
33,2000-02-17,7580.53,6154.96,46807.0,667.97,28224.0,13838.25,12326.7,2820.69
34,2000-02-18,7573.78,6062.72,46602.0,655.17,28434.1,13976.18,12368.0,2800.1
35,2000-02-21,7590.53,5967.28,46014.0,649.34,27998.0,13939.3,12260.3,2780.48
