DATE,TIME PERIOD,CISS - Composite Indicator of Systemic Stress (CISS.D.U2.Z0Z.4F.EC.SS_CI.IDX)
08/01/1999,08-Jan-99,0.0941
15/01/1999,15-Jan-99,0.1962
22/01/1999,22-Jan-99,0.1877
29/01/1999,29-Jan-99,0.1489
05/02/1999,05-Feb-99,0.1746
12/02/1999,12-Feb-99,0.2127
19/02/1999,19-Feb-99,0.2173
26/02/1999,26-Feb-99,0.2001
05/03/1999,05-Mar-99,0.1666
12/03/1999,12-Mar-99,0.155
19/03/1999,19-Mar-99,0.0761
26/03/1999,26-Mar-99,0.1233
02/04/1999,02-Apr-99,0.0867
09/04/1999,09-Apr-99,0.0925
16/04/1999,16-Apr-99,0.0645
23/04/1999,23-Apr-99,0.1054
30/04/1999,30-Apr-99,0.0747
07/05/1999,07-May-99,0.0618
14/05/1999,14-May-99,0.0567
21/05/1999,21-May-99,0.0565
28/05/1999,28-May-99,0.0568
04/06/1999,04-Jun-99,0.0495
11/06/1999,11-Jun-99,0.0536
18/06/1999,18-Jun-99,0.0485
25/06/1999,25-Jun-99,0.04
02/07/1999,02-Jul-99,0.0422
09/07/1999,09-Jul-99,0.0271
16/07/1999,16-Jul-99,0.0342
23/07/1999,23-Jul-99,0.0867
30/07/1999,30-Jul-99,0.0873
06/08/1999,06-Aug-99,0.0819
13/08/1999,13-Aug-99,0.0826
20/08/1999,20-Aug-99,0.0835
27/08/1999,27-Aug-99,0.0688
03/09/1999,03-Sep-99,0.0604
10/09/1999,10-Sep-99,0.0572
17/09/1999,17-Sep-99,0.0584
24/09/1999,24-Sep-99,0.0699
01/10/1999,01-Oct-99,0.073
08/10/1999,08-Oct-99,0.0785
15/10/1999,15-Oct-99,0.1061
22/10/1999,22-Oct-99,0.1067
29/10/1999,29-Oct-99,0.1033
05/11/1999,05-Nov-99,0.0561
12/11/1999,12-Nov-99,0.0497
19/11/1999,19-Nov-99,0.0547
26/11/1999,26-Nov-99,0.0617
03/12/1999,03-Dec-99,0.0518
10/12/1999,10-Dec-99,0.0735
17/12/1999,17-Dec-99,0.065
24/12/1999,24-Dec-99,0.061
31/12/1999,31-Dec-99,0.0582
07/01/2000,07-Jan-00,0.1041
14/01/2000,14-Jan-00,0.0772
21/01/2000,21-Jan-00,0.0561
28/01/2000,28-Jan-00,0.092
04/02/2000,04-Feb-00,0.084
11/02/2000,11-Feb-00,0.0669
18/02/2000,18-Feb-00,0.0522
25/02/2000,25-Feb-00,0.091
03/03/2000,03-Mar-00,0.0767
10/03/2000,10-Mar-00,0.0778
17/03/2000,17-Mar-00,0.0699
24/03/2000,24-Mar-00,0.0653
31/03/2000,31-Mar-00,0.1095
07/04/2000,07-Apr-00,0.1109
14/04/2000,14-Apr-00,0.147
21/04/2000,21-Apr-00,0.1238
28/04/2000,28-Apr-00,0.1863
05/05/2000,05-May-00,0.2133
12/05/2000,12-May-00,0.2019
19/05/2000,19-May-00,0.1779
26/05/2000,26-May-00,0.2479
02/06/2000,02-Jun-00,0.2241
09/06/2000,09-Jun-00,0.149
16/06/2000,16-Jun-00,0.1244
23/06/2000,23-Jun-00,0.1725
30/06/2000,30-Jun-00,0.1766
07/07/2000,07-Jul-00,0.1239
14/07/2000,14-Jul-00,0.119
21/07/2000,21-Jul-00,0.1751
28/07/2000,28-Jul-00,0.1652
04/08/2000,04-Aug-00,0.1873
11/08/2000,11-Aug-00,0.1426
18/08/2000,18-Aug-00,0.1149
25/08/2000,25-Aug-00,0.1019
01/09/2000,01-Sep-00,0.1373
08/09/2000,08-Sep-00,0.1744
15/09/2000,15-Sep-00,0.1427
22/09/2000,22-Sep-00,0.187
29/09/2000,29-Sep-00,0.146
06/10/2000,06-Oct-00,0.1333
13/10/2000,13-Oct-00,0.2042
20/10/2000,20-Oct-00,0.2331
27/10/2000,27-Oct-00,0.2255
03/11/2000,03-Nov-00,0.1481
10/11/2000,10-Nov-00,0.1399
17/11/2000,17-Nov-00,0.1467
24/11/2000,24-Nov-00,0.1799
01/12/2000,01-Dec-00,0.209
08/12/2000,08-Dec-00,0.175
15/12/2000,15-Dec-00,0.1761
22/12/2000,22-Dec-00,0.2041
29/12/2000,29-Dec-00,0.1312
05/01/2001,05-Jan-01,0.2424
12/01/2001,12-Jan-01,0.2392
19/01/2001,19-Jan-01,0.2075
26/01/2001,26-Jan-01,0.1203
02/02/2001,02-Feb-01,0.1512
09/02/2001,09-Feb-01,0.1401
16/02/2001,16-Feb-01,0.189
23/02/2001,23-Feb-01,0.1911
02/03/2001,02-Mar-01,0.1834
09/03/2001,09-Mar-01,0.0932
16/03/2001,16-Mar-01,0.1383
23/03/2001,23-Mar-01,0.1888
30/03/2001,30-Mar-01,0.173
06/04/2001,06-Apr-01,0.1864
13/04/2001,13-Apr-01,0.2069
20/04/2001,20-Apr-01,0.216
27/04/2001,27-Apr-01,0.1975
04/05/2001,04-May-01,0.123
11/05/2001,11-May-01,0.1233
18/05/2001,18-May-01,0.0967
25/05/2001,25-May-01,0.1357
01/06/2001,01-Jun-01,0.1071
08/06/2001,08-Jun-01,0.1011
15/06/2001,15-Jun-01,0.1118
22/06/2001,22-Jun-01,0.0934
29/06/2001,29-Jun-01,0.1673
06/07/2001,06-Jul-01,0.1772
13/07/2001,13-Jul-01,0.1747
20/07/2001,20-Jul-01,0.1869
27/07/2001,27-Jul-01,0.1477
03/08/2001,03-Aug-01,0.1091
10/08/2001,10-Aug-01,0.1259
17/08/2001,17-Aug-01,0.1698
24/08/2001,24-Aug-01,0.1362
31/08/2001,31-Aug-01,0.1722
07/09/2001,07-Sep-01,0.2882
14/09/2001,14-Sep-01,0.3312
21/09/2001,21-Sep-01,0.3955
28/09/2001,28-Sep-01,0.3805
05/10/2001,05-Oct-01,0.3947
12/10/2001,12-Oct-01,0.3268
19/10/2001,19-Oct-01,0.3194
26/10/2001,26-Oct-01,0.3387
02/11/2001,02-Nov-01,0.3399
09/11/2001,09-Nov-01,0.3484
16/11/2001,16-Nov-01,0.3625
23/11/2001,23-Nov-01,0.3198
30/11/2001,30-Nov-01,0.2847
07/12/2001,07-Dec-01,0.323
14/12/2001,14-Dec-01,0.2772
21/12/2001,21-Dec-01,0.3023
28/12/2001,28-Dec-01,0.2346
04/01/2002,04-Jan-02,0.3095
11/01/2002,11-Jan-02,0.2441
18/01/2002,18-Jan-02,0.2993
25/01/2002,25-Jan-02,0.278
01/02/2002,01-Feb-02,0.2502
08/02/2002,08-Feb-02,0.2851
15/02/2002,15-Feb-02,0.1922
22/02/2002,22-Feb-02,0.2441
01/03/2002,01-Mar-02,0.2207
08/03/2002,08-Mar-02,0.2084
15/03/2002,15-Mar-02,0.1422
22/03/2002,22-Mar-02,0.143
29/03/2002,29-Mar-02,0.0983
05/04/2002,05-Apr-02,0.1619
12/04/2002,12-Apr-02,0.1756
19/04/2002,19-Apr-02,0.1828
26/04/2002,26-Apr-02,0.1554
03/05/2002,03-May-02,0.1995
10/05/2002,10-May-02,0.1615
17/05/2002,17-May-02,0.1652
24/05/2002,24-May-02,0.1491
31/05/2002,31-May-02,0.1586
07/06/2002,07-Jun-02,0.1698
14/06/2002,14-Jun-02,0.1694
21/06/2002,21-Jun-02,0.1645
28/06/2002,28-Jun-02,0.152
05/07/2002,05-Jul-02,0.1933
12/07/2002,12-Jul-02,0.1875
19/07/2002,19-Jul-02,0.1938
26/07/2002,26-Jul-02,0.2232
02/08/2002,02-Aug-02,0.2277
09/08/2002,09-Aug-02,0.2386
16/08/2002,16-Aug-02,0.1924
23/08/2002,23-Aug-02,0.2296
30/08/2002,30-Aug-02,0.2231
06/09/2002,06-Sep-02,0.2147
13/09/2002,13-Sep-02,0.2343
20/09/2002,20-Sep-02,0.2308
27/09/2002,27-Sep-02,0.2381
04/10/2002,04-Oct-02,0.261
11/10/2002,11-Oct-02,0.2758
18/10/2002,18-Oct-02,0.2683
25/10/2002,25-Oct-02,0.2581
01/11/2002,01-Nov-02,0.2185
08/11/2002,08-Nov-02,0.2375
15/11/2002,15-Nov-02,0.2053
22/11/2002,22-Nov-02,0.1833
29/11/2002,29-Nov-02,0.2167
06/12/2002,06-Dec-02,0.2081
13/12/2002,13-Dec-02,0.207
20/12/2002,20-Dec-02,0.2501
27/12/2002,27-Dec-02,0.1392
03/01/2003,03-Jan-03,0.1915
10/01/2003,10-Jan-03,0.1672
17/01/2003,17-Jan-03,0.2078
24/01/2003,24-Jan-03,0.2178
31/01/2003,31-Jan-03,0.2127
07/02/2003,07-Feb-03,0.1814
